code,korean_title,num_of_audience,key_review,score_male,score_female,scores_per_age,num_per_genders,num_per_ages
159892,탐정: 리턴즈,3681,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.94,9.03,"[9.41, 9.14, 8.84, 8.78, 8.75]","[44, 56]","[3, 51, 24, 16, 6]"
164150,12피트,1,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,0,2,"[0.0, 0.0, 0.0, 2.0, 0.0]","[100, 19]","[0, 0, 0, 100, 0]"
158191,1987,10178,이 영화는 20대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,9.25,9.38,"[9.45, 9.28, 9.3, 9.39, 9.3]","[50, 50]","[4, 44, 26, 18, 7]"
194581,엔터 더 팻 드래곤,,,,,[],[],[]
142255,걸 온 더 트레인,81,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.92,7.76,"[8.0, 7.28, 7.38, 7.5, 7.8]","[44, 56]","[1, 48, 30, 15, 6]"
199262,클래스메이트 마이너스,,,,,[],[],[]
194416,맨슨 패밀리,,,,,[],[],[]
190313,황비홍 - 왕의 귀환,,,,,[],[],[]
179338,10년,1,이 영화는 40대 여성이 좋아하는 연출이 뛰어난 영화입니다.,0,9,"[0.0, 0.0, 0.0, 9.0, 0.0]","[100, 30]","[0, 0, 0, 100, 0]"
190244,러브 앳,3,이 영화는 20대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,0,10,"[0.0, 10.0, 10.0, 0.0, 0.0]","[100, 19]","[0, 67, 33, 0, 0]"
193100,리버레이션: 천진 대전투,,,,,[],[],[]
190341,황비홍 - 전설의 묵룡도를 찾아서,,,,,[],[],[]
177332,쁘띠 아만다,6,이 영화는 40대 여성이 좋아하는 연기가 뛰어난 영화입니다.,9,8.5,"[0.0, 9.0, 8.5, 0.0, 8.5]","[33, 67]","[0, 33, 33, 0, 33]"
188765,문신을 한 신부님,11,이 영화는 40대 남성이 좋아하는 연기가 뛰어난 영화입니다.,8.43,8,"[8.0, 8.0, 8.8, 7.0, 10.0]","[64, 36]","[9, 9, 45, 27, 9]"
190723,더 포토그래프,,,,,[],[],[]
182348,로망,83,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.83,9.08,"[9.33, 9.31, 8.89, 8.8, 8.2]","[42, 58]","[4, 39, 34, 12, 12]"
194398,판타스틱 썸머,,,,,[],[],[]
181114,날씨의 아이,789,이 영화는 20대 남성이 좋아하는 영상미가 뛰어난 영화입니다.,8.5,8.11,"[8.91, 8.42, 7.9, 8.2, 8.55]","[70, 30]","[14, 55, 18, 9, 4]"
183854,죽지않는 인간들의 밤,179,이 영화는 30대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.51,9.14,"[9.0, 9.02, 8.24, 9.14, 9.12]","[55, 45]","[1, 37, 33, 21, 9]"
191591,뉴스 오브 더 월드,,,,,[],[],[]
186342,승리호,,,,,[],[],[]
200586,맬컴과 마리,,,,,[],[],[]
198329,고독의 맛,,,,,[],[],[]
202353,음양사 : 청아집,,,,,[],[],[]
191633,트롤: 월드 투어,99,이 영화는 10대 여성이 좋아하는 OST가 뛰어난 영화입니다.,8.68,8.51,"[10.0, 8.78, 8.37, 8.55, 8.0]","[28, 72]","[4, 18, 43, 31, 3]"
200582,더 디그,,,,,[],[],[]
194723,더 히든,,,,,[],[],[]
196525,펭귄 블룸,,,,,[],[],[]
189141,삼진그룹 영어토익반,699,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.87,9.13,"[9.68, 9.06, 8.85, 8.95, 9.02]","[40, 60]","[6, 49, 25, 14, 6]"
192146,헌트,3,이 영화는 40대 남성이 좋아하는 연출이 뛰어난 영화입니다.,7.5,9,"[0.0, 9.0, 7.0, 8.0, 0.0]","[67, 33]","[0, 33, 33, 33, 0]"
201218,화이트 타이거,,,,,[],[],[]
110026,더 배터리,,,,,[],[],[]
201669,아웃사이드 더 와이어,,,,,[],[],[]
199869,위시유,,,,,[],[],[]
168972,해피니스 로드,,,,,[],[],[]
10676,타이페이 스토리,27,이 영화는 30대 남성이 좋아하는 연출이 뛰어난 영화입니다.,8.73,8,"[0.0, 8.36, 8.25, 8.8, 8.33]","[56, 44]","[0, 41, 30, 19, 11]"
196581,그녀의 조각들,,,,,[],[],[]
200746,토니파커: 마지막 슛,,,,,[],[],[]
185935,좀비 워,,,,,[],[],[]
194195,차인표,,,,,[],[],[]
164956,틴 스피릿,6,"이 영화는 20대 여성이 좋아하는 영상미, 연기가 뛰어난 영화입니다.",0,8,"[0.0, 8.0, 8.0, 0.0, 0.0]","[100, 15]","[0, 83, 17, 0, 0]"
195757,마이티 오크: 다시 만난밴드,,,,,[],[],[]
199236,더 로프 커스 2,,,,,[],[],[]
173418,캅스 앤 로버스,,,,,[],[],[]
11003,천장지구,,,,,[],[],[]
96984,누구의 딸도 아닌 해원,6,이 영화는 20대 남성이 좋아하는 연출이 뛰어난 영화입니다.,9.33,8.67,"[0.0, 9.0, 0.0, 0.0, 0.0]","[50, 50]","[0, 100, 0, 0, 0]"
95473,고양이를 빌려드립니다,1,이 영화는 20대 여성이 좋아하는 영상미가 뛰어난 영화입니다.,0,5,"[0.0, 5.0, 0.0, 0.0, 0.0]","[100, 21]","[0, 100, 0, 0, 0]"
183839,태극권,,,,,[],[],[]
42869,거북이는 의외로 빨리 헤엄친다,,,,,[],[],[]
168019,리지,25,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.83,7.84,"[8.0, 7.88, 6.0, 0.0, 8.67]","[24, 76]","[4, 64, 20, 0, 12]"
159863,라플라스의 마녀,16,이 영화는 20대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,7,6.83,"[5.67, 7.11, 9.0, 2.0, 0.0]","[25, 75]","[19, 56, 19, 6, 0]"
37370,쌍웅,,,,,[],[],[]
62341,상성: 상처받은 도시,,,,,[],[],[]
179399,기도하는 남자,2,이 영화는 40대 남성이 좋아하는 연기가 뛰어난 영화입니다.,10,7,"[0.0, 10.0, 7.0, 0.0, 0.0]","[50, 50]","[0, 50, 50, 0, 0]"
185150,이장,15,이 영화는 40대 여성이 좋아하는 연기가 뛰어난 영화입니다.,9.6,8.8,"[0.0, 9.08, 10.0, 7.0, 0.0]","[33, 67]","[0, 80, 13, 7, 0]"
171455,하이 라이프,6,"이 영화는 40대 남성이 좋아하는 스토리, 연기가 뛰어난 영화입니다.",8,4.67,"[0.0, 7.0, 1.0, 8.0, 0.0]","[50, 50]","[0, 50, 17, 33, 0]"
180385,니나 내나,3,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,9,6,"[7.5, 9.0, 0.0, 0.0, 0.0]","[67, 33]","[67, 33, 0, 0, 0]"
174530,시민 노무현,24,이 영화는 40대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,9.67,9.56,"[0.0, 9.6, 9.56, 9.43, 10.0]","[25, 75]","[0, 21, 38, 29, 12]"
198607,몬스터 런,,,,,[],[],[]
200575,오늘부터 히어로,,,,,[],[],[]
199406,미드나이트 스카이,5,이 영화는 40대 남성이 좋아하는 영상미가 뛰어난 영화입니다.,7.6,0,"[0.0, 6.67, 0.0, 8.0, 10.0]","[100, 21]","[0, 60, 0, 20, 20]"
192898,네 마음에 새겨진 이름,,,,,[],[],[]
179307,벌새,967,이 영화는 20대 여성이 좋아하는 연출이 뛰어난 영화입니다.,8.64,9.1,"[9.51, 8.91, 8.93, 9.2, 8.92]","[29, 71]","[4, 55, 25, 10, 5]"
177508,강변호텔,114,이 영화는 30대 남성이 좋아하는 연출이 뛰어난 영화입니다.,8.14,7.16,"[0.0, 7.77, 7.78, 8.22, 6.25]","[55, 45]","[0, 46, 39, 8, 7]"
177400,빅 브라더,,,,,[],[],[]
175393,국제수사,179,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,6.99,7.44,"[6.0, 7.07, 7.17, 7.74, 6.95]","[49, 51]","[2, 32, 34, 22, 11]"
189001,인비저블맨,329,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.62,9.08,"[8.8, 8.73, 8.96, 9.0, 8.77]","[56, 44]","[2, 50, 27, 12, 9]"
166092,PMC: 더 벙커,1168,이 영화는 30대 남성이 좋아하는 연출이 뛰어난 영화입니다.,6.62,6.42,"[6.57, 6.51, 6.62, 6.46, 6.5]","[55, 45]","[4, 42, 25, 20, 9]"
193970,더 프롬,4,이 영화는 20대 여성이 좋아하는 OST가 뛰어난 영화입니다.,10,8.67,"[10.0, 10.0, 8.0, 0.0, 0.0]","[25, 75]","[25, 25, 50, 0, 0]"
107204,캔바스,,,,,[],[],[]
200784,로즈 아일랜드 공화국,,,,,[],[],[]
154672,"안녕, 티라노: 영원히, 함께",163,이 영화는 30대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,8.86,8.53,"[9.0, 9.0, 8.52, 8.63, 8.67]","[21, 79]","[1, 9, 57, 31, 2]"
190729,퀸 앤 슬림,,,,,[],[],[]
191677,엠마,3,이 영화는 20대 여성이 좋아하는 영상미가 뛰어난 영화입니다.,0,7.67,"[0.0, 7.5, 0.0, 0.0, 8.0]","[100, 20]","[0, 67, 0, 0, 33]"
198749,메가 블리자드,,,,,[],[],[]
191585,맹크,15,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,7.09,8,"[0.0, 7.44, 7.17, 0.0, 0.0]","[73, 27]","[0, 60, 40, 0, 0]"
194870,바디캠,,,,,[],[],[]
200589,오늘도 크리스마스,,,,,[],[],[]
180025,해치지않아,402,이 영화는 30대 여성이 좋아하는 연기가 뛰어난 영화입니다.,7.41,7.26,"[6.0, 7.06, 7.45, 7.71, 7.04]","[44, 56]","[2, 36, 28, 28, 6]"
152385,꾼,4320,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,8.3,8.33,"[8.7, 8.35, 8.17, 8.28, 8.37]","[51, 49]","[4, 53, 22, 15, 6]"
153620,치즈인더트랩,121,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,7.87,7.39,"[7.29, 7.15, 8.73, 6.86, 9.2]","[26, 74]","[6, 66, 18, 6, 4]"
189104,모술,,,,,[],[],[]
179879,콜,,,,,[],[],[]
179875,비스트,269,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,8.29,8.01,"[8.33, 7.92, 8.34, 8.32, 8.79]","[72, 28]","[1, 38, 30, 22, 9]"
198754,힐빌리의 노래,6,이 영화는 40대 남성이 좋아하는 연기가 뛰어난 영화입니다.,9,9.5,"[0.0, 10.0, 9.33, 10.0, 8.0]","[33, 67]","[0, 17, 50, 17, 17]"
181704,로켓맨,176,"이 영화는 30대 여성이 좋아하는 OST, 연기가 뛰어난 영화입니다.",8.48,9,"[8.0, 8.65, 9.03, 8.32, 9.06]","[39, 61]","[1, 40, 38, 11, 10]"
199876,자기 앞의 생,,,,,[],[],[]
199865,징글 쟁글: 저니의 크리스마스,,,,,[],[],[]
193570,스폰지밥 무비: 핑핑이 구출 대작전,,,,,[],[],[]
192152,더 시크릿: 데어 투 드림,,,,,[],[],[]
11547,장미의 전쟁,,,,,[],[],[]
167495,제이 앤 사일런트 밥 리부트,,,,,[],[],[]
188471,해리엇,,,,,[],[],[]
159866,닥터 두리틀,650,이 영화는 20대 여성이 좋아하는 영상미가 뛰어난 영화입니다.,8.01,8.21,"[7.71, 7.85, 8.33, 8.32, 7.78]","[44, 56]","[3, 34, 34, 24, 6]"
185933,캣츠,576,이 영화는 30대 남성이 좋아하는 OST가 뛰어난 영화입니다.,6.89,6.04,"[5.11, 5.79, 6.5, 7.17, 6.89]","[46, 54]","[3, 34, 27, 26, 10]"
202609,마이 크리스마스 인,,,,,[],[],[]
191998,그 남자의 집,,,,,[],[],[]
199428,홀리데이트,,,,,[],[],[]
195105,오버 더 문,,,,,[],[],[]
207762,살육 호텔,,,,,[],[],[]
189357,레베카,,,,,[],[],[]
159167,벤딩 디 아크: 세상을 바꾸는 힘,,,,,[],[],[]
192624,트라이얼 오브 더 시카고 7,8,이 영화는 30대 남성이 좋아하는 연출이 뛰어난 영화입니다.,8.75,7.75,"[0.0, 8.33, 10.0, 0.0, 6.0]","[50, 50]","[0, 75, 12, 0, 12]"
198414,블랙핑크: 세상을 밝혀라,,,,,[],[],[]
129407,아 추,,,,,[],[],[]
197283,휴비의 핼러윈,,,,,[],[],[]
172118,극장판 도라에몽: 진구의 보물섬,361,이 영화는 30대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,8.95,8.95,"[10.0, 9.41, 8.93, 8.91, 8.5]","[27, 73]","[1, 6, 56, 35, 2]"
181965,허니 보이,,,,,[],[],[]
192148,판타지 아일랜드,,,,,[],[],[]
193170,블랙크리스마스,,,,,[],[],[]
178143,더 바인딩,,,,,[],[],[]
193868,보이즈 인 더 밴드,,,,,[],[],[]
196389,에놀라 홈즈,,,,,[],[],[]
155406,하이앤로우 더 레드 레인,,,,,[],[],[]
150657,하이앤로우 더 무비,,,,,[],[],[]
30782,위트,,,,,[],[],[]
191560,악마는 사라지지 않는다,,,,,[],[],[]
52593,백만장자의 첫사랑,,,,,[],[],[]
162148,샘,11,이 영화는 30대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,9.33,8.62,"[0.0, 8.67, 9.5, 10.0, 8.0]","[27, 73]","[0, 55, 18, 9, 18]"
154508,용순,74,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,8.17,8,"[6.5, 8.17, 8.04, 8.38, 8.0]","[31, 69]","[5, 49, 34, 11, 1]"
168405,여중생A,138,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.81,7.65,"[7.0, 7.0, 8.36, 8.03, 7.67]","[31, 69]","[8, 56, 10, 22, 4]"
159805,흥부: 글로 세상을 바꾼 자,364,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.69,7.03,"[3.67, 6.72, 7.27, 6.81, 7.03]","[43, 57]","[2, 42, 32, 17, 8]"
187366,극장판 헬로카봇 : 달나라를 구해줘!,375,이 영화는 30대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,7.44,8.1,"[0.0, 7.91, 7.91, 7.99, 7.0]","[27, 73]","[0, 6, 73, 20, 0]"
188874,라이트하우스,,,,,[],[],[]
189260,라스트 크리스마스,78,이 영화는 20대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,7.54,6.88,"[6.5, 7.36, 6.78, 7.0, 8.2]","[45, 55]","[5, 50, 23, 15, 6]"
56447,가족의 탄생,,,,,[],[],[]
182049,돈렛고,,,,,[],[],[]
193974,사탄의 베이비 시터: 킬러 퀸,,,,,[],[],[]
191940,소셜 딜레마,,,,,[],[],[]
187548,프렌드 존,,,,,[],[],[]
188469,뷰티풀 데이 인 더 네이버후드,,,,,[],[],[]
164936,아나스타샤,,,,,[],[],[]
193870,이제 그만 끝낼까 해,,,,,[],[],[]
140656,커런트 워,15,이 영화는 30대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.5,8.57,"[0.0, 7.5, 8.33, 8.33, 5.67]","[53, 47]","[0, 40, 20, 20, 20]"
208974,더 매치: 1944,,,,,[],[],[]
130708,아임 산타나: 더 무비,,,,,[],[],[]
196978,록스타처럼!,,,,,[],[],[]
196808,"불사조, 비상하다",,,,,[],[],[]
197281,슬립오버,,,,,[],[],[]
