old_index,title,release_date,series_or_movies,genre_list,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,img_link,imdb_votes
12631,Hells Kitchen,2005-05-30,Series,"['게임쇼', '리얼리티']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,http://occ-0-299-300.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABZiyzq9gbaLYXOVDjvzK4XkPuyNxqOVWYY-CJsnkX0z2jbdghdtve4tYfrgec_TaJoyre1KQq6_FRNDT8Tq6hqvvWsGH0cA.jpg?r=5c1,16804
8947,Queer Eye,2018-02-07,Series,['리얼리티'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcbUBbILj_QoU7E0qk98njfuYBnLknl_QxP4RVp6igiEXBIvg1zWjY-cuMp3aU9kLoEhKkkM-P4x9EYbFJR8H_Tt1PhCFcxg0RvrFjCbzoyPia4wmpsOLgkcXME.jpg?r=d08,15500
15151,RuPauls Drag Race,2009-02-02,Series,"['게임쇼', '리얼리티']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,https://occ-0-2506-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVYddRmuETGVSsKlpCnIzRUnLbltFK2hyN0hO6zBvzGL2zIetvI4jl0GZn1vKgFlzSQepyrQIVIVHGEUUkfXIAcx9OplsR_v4n0YM5TX554NEmPbBMylf0Sqvpk.jpg?r=ae4,15334
11418,Versailles,2016-10-01,Series,"['전기', '드라마', '역사', '로맨스', '전쟁']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,http://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABerlKTq1aGPrWLvd6KaW7gyQQDZbyUiEDGKC3WSzcHUrjp2xHubYsg6-Hv9mA-jybNWgZtGiMoc8AFUvyBCx_Lc5WQ.jpg?r=37a,13950
4036,Killer Inside  The Mind of Aaron Hernandez,2020-01-15,Series,"['다큐멘터리', '범죄']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfYv4vT3Vqkv8KqqpB0M8w_pLPuNOluuhnvmufkZFrvgNV4a6JGCs-vZ3bPEkNWKIiaBm8iIBkuzSnU0gxGNHJYdJMxezAV402wp-NnldGXPNci4yn8EWLgbRkA.jpg?r=a04,13355
352,Night Stalker  The Hunt for a Serial Killer,2021-01-13,Series,"['다큐멘터리', '범죄']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUUMMaD5VT_CUmKxgc5GHRE0Fv_uybOVjHY9WMrD6XYTZnGPrW1BK0Slv2afEK-o4x5CAN_InX5yEihByq0gwIlyL1K88l-32z-LYo6VPWdQDuuyGixFsvbXsJ8.jpg?r=fbb,13056
12594,Shaun the Sheep,2007-03-05,Series,"['애니메이션', '단편', '코미디', '가족']",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR2cCHC7WzlGud52jXIuIVtr5JhnQ9CzERuEN_B6qtSWHGpfG3733DUyg5H0XKqoNx9F_o_zZ1OKivaft0nSkN4Yiw.jpg?r=a74,12149
5631,Brothers,2015-08-14,Series,"['액션', '드라마', '스포츠']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://occ-0-2042-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbnbAKAiSxPTfJeLimfDEelv-Mc7aV4ITSZVWYCmZIP86NAegFDgynmfut4bxrw8EvhGTexkDZBc9m3VivxIg6F4yA.jpg?r=dce,11727
8783,The Defiant Ones,2017-07-09,Series,"['다큐멘터리', '전기', '범죄', '음악']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYM4qgncPP8ajOVDFQSfxbIs9F6j_DPIoCkA_Z5oVgG5Zm7TxxL0iJjPelnBA1oqlHvwOHRs6ydpr1Z8Gfj-WKnn6swjIbYIRaGhaqaqjoX4sZgP5EyBH-fxyew.jpg?r=9cd,11713
3691,The English Game,2020-03-20,Series,"['드라마', '역사', '스포츠']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaUVoB-KdqGKSaimSjai9NkCHqtjviiObo_jyADxzWfoaUlcf4LC6bDHysybF1bJHg1v7P0_80sS5B1IHHcMaiUrVbkg1xpXmGuE6wpjnFw_jKPr_zW8iTgU6KA.jpg?r=375,11626
