,code,spa_10s_npg_male,spa_10s_npg_female,spa_20s_npg_male,spa_20s_npg_female,spa_30s_npg_male,spa_30s_npg_female,spa_40s_npg_male,spa_40s_npg_female,spa_50s_npg_male,spa_50s_npg_female
93,200575.0,,,,,,,,,,
94,199406.0,0.0,0.0,6.67,1.4,0.0,0.0,8.0,1.68,10.0,2.1
95,192898.0,,,,,,,,,,
96,179307.0,2.76,6.75,2.58,6.33,2.59,6.34,2.67,6.53,2.59,6.33
97,177508.0,0.0,0.0,4.27,3.5,4.28,3.5,4.52,3.7,3.44,2.81
98,177400.0,,,,,,,,,,
99,175393.0,2.94,3.06,3.46,3.61,3.51,3.66,3.79,3.95,3.41,3.54
100,189001.0,4.93,3.87,4.89,3.84,5.02,3.94,5.04,3.96,4.91,3.86
101,166092.0,3.61,2.96,3.58,2.93,3.64,2.98,3.55,2.91,3.58,2.92
102,193970.0,2.5,7.5,2.5,7.5,2.0,6.0,0.0,0.0,0.0,0.0
103,107204.0,,,,,,,,,,
104,200784.0,,,,,,,,,,
105,154672.0,1.89,7.11,1.89,7.11,1.79,6.73,1.81,6.82,1.82,6.85
106,190729.0,,,,,,,,,,
107,191677.0,0.0,0.0,7.5,1.5,0.0,0.0,0.0,0.0,8.0,1.6
108,198749.0,,,,,,,,,,
109,191585.0,0.0,0.0,5.43,2.01,5.23,1.94,0.0,0.0,0.0,0.0
110,194870.0,,,,,,,,,,
111,200589.0,,,,,,,,,,
112,180025.0,2.64,3.36,3.11,3.95,3.28,4.17,3.39,4.32,3.1,3.94
113,152385.0,4.44,4.26,4.26,4.09,4.17,4.0,4.22,4.06,4.27,4.1
114,153620.0,1.9,5.39,1.86,5.29,2.27,6.46,1.78,5.08,2.39,6.81
115,189104.0,,,,,,,,,,
116,179879.0,,,,,,,,,,
117,179875.0,6.0,2.33,5.7,2.22,6.0,2.34,5.99,2.33,6.33,2.46
118,198754.0,0.0,0.0,3.3,6.7,3.08,6.25,3.3,6.7,2.64,5.36
119,181704.0,3.12,4.88,3.37,5.28,3.52,5.51,3.24,5.08,3.53,5.53
120,199876.0,,,,,,,,,,
121,199865.0,,,,,,,,,,
122,193570.0,,,,,,,,,,
123,192152.0,,,,,,,,,,
124,11547.0,,,,,,,,,,
125,167495.0,,,,,,,,,,
126,188471.0,,,,,,,,,,
127,159866.0,3.39,4.32,3.45,4.4,3.67,4.66,3.66,4.66,3.42,4.36
128,185933.0,2.35,2.76,2.66,3.13,2.99,3.51,3.3,3.87,3.17,3.72
129,202609.0,,,,,,,,,,
130,191998.0,,,,,,,,,,
131,199428.0,,,,,,,,,,
132,195105.0,,,,,,,,,,
133,207762.0,,,,,,,,,,
134,189357.0,,,,,,,,,,
135,159167.0,,,,,,,,,,
136,192624.0,0.0,0.0,4.17,4.17,5.0,5.0,0.0,0.0,3.0,3.0
137,198414.0,,,,,,,,,,
138,129407.0,,,,,,,,,,
139,197283.0,,,,,,,,,,
140,172118.0,2.7,7.3,2.54,6.87,2.41,6.52,2.41,6.5,2.29,6.21
141,181965.0,,,,,,,,,,
142,192148.0,,,,,,,,,,
143,193170.0,,,,,,,,,,
144,178143.0,,,,,,,,,,
145,193868.0,,,,,,,,,,
146,196389.0,,,,,,,,,,
147,155406.0,,,,,,,,,,
148,150657.0,,,,,,,,,,
149,30782.0,,,,,,,,,,
150,191560.0,,,,,,,,,,
151,52593.0,,,,,,,,,,
152,162148.0,0.0,0.0,2.34,6.33,2.56,6.93,2.7,7.3,2.16,5.84
