,code,npa_10s_npg_male,npa_10s_npg_female,npa_20s_npg_male,npa_20s_npg_female,npa_30s_npg_male,npa_30s_npg_female,npa_40s_npg_male,npa_40s_npg_female,npa_50s_npg_male,npa_50s_npg_female
93,200575.0,,,,,,,,,,
94,199406.0,0.0,0.0,60.0,12.6,0.0,0.0,20.0,4.2,20.0,4.2
95,192898.0,,,,,,,,,,
96,179307.0,1.16,2.84,15.95,39.05,7.25,17.75,2.9,7.1,1.45,3.55
97,177508.0,0.0,0.0,25.3,20.7,21.45,17.55,4.4,3.6,3.85,3.15
98,177400.0,,,,,,,,,,
99,175393.0,0.98,1.02,15.68,16.32,16.66,17.34,10.78,11.22,5.39,5.61
100,189001.0,1.12,0.88,28.0,22.0,15.12,11.88,6.72,5.28,5.04,3.96
101,166092.0,2.2,1.8,23.1,18.9,13.75,11.25,11.0,9.0,4.95,4.05
102,193970.0,6.25,18.75,6.25,18.75,12.5,37.5,0.0,0.0,0.0,0.0
103,107204.0,,,,,,,,,,
104,200784.0,,,,,,,,,,
105,154672.0,0.21,0.79,1.89,7.11,11.97,45.03,6.51,24.49,0.42,1.58
106,190729.0,,,,,,,,,,
107,191677.0,0.0,0.0,67.0,13.4,0.0,0.0,0.0,0.0,33.0,6.6
108,198749.0,,,,,,,,,,
109,191585.0,0.0,0.0,43.8,16.2,29.2,10.8,0.0,0.0,0.0,0.0
110,194870.0,,,,,,,,,,
111,200589.0,,,,,,,,,,
112,180025.0,0.88,1.12,15.84,20.16,12.32,15.68,12.32,15.68,2.64,3.36
113,152385.0,2.04,1.96,27.03,25.97,11.22,10.78,7.65,7.35,3.06,2.94
114,153620.0,1.56,4.44,17.16,48.84,4.68,13.32,1.56,4.44,1.04,2.96
115,189104.0,,,,,,,,,,
116,179879.0,,,,,,,,,,
117,179875.0,0.72,0.28,27.36,10.64,21.6,8.4,15.84,6.16,6.48,2.52
118,198754.0,0.0,0.0,5.61,11.39,16.5,33.5,5.61,11.39,5.61,11.39
119,181704.0,0.39,0.61,15.6,24.4,14.82,23.18,4.29,6.71,3.9,6.1
120,199876.0,,,,,,,,,,
121,199865.0,,,,,,,,,,
122,193570.0,,,,,,,,,,
123,192152.0,,,,,,,,,,
124,11547.0,,,,,,,,,,
125,167495.0,,,,,,,,,,
126,188471.0,,,,,,,,,,
127,159866.0,1.32,1.68,14.96,19.04,14.96,19.04,10.56,13.44,2.64,3.36
128,185933.0,1.38,1.62,15.64,18.36,12.42,14.58,11.96,14.04,4.6,5.4
129,202609.0,,,,,,,,,,
130,191998.0,,,,,,,,,,
131,199428.0,,,,,,,,,,
132,195105.0,,,,,,,,,,
133,207762.0,,,,,,,,,,
134,189357.0,,,,,,,,,,
135,159167.0,,,,,,,,,,
136,192624.0,0.0,0.0,37.5,37.5,6.0,6.0,0.0,0.0,6.0,6.0
137,198414.0,,,,,,,,,,
138,129407.0,,,,,,,,,,
139,197283.0,,,,,,,,,,
140,172118.0,0.27,0.73,1.62,4.38,15.12,40.88,9.45,25.55,0.54,1.46
141,181965.0,,,,,,,,,,
142,192148.0,,,,,,,,,,
143,193170.0,,,,,,,,,,
144,178143.0,,,,,,,,,,
145,193868.0,,,,,,,,,,
146,196389.0,,,,,,,,,,
147,155406.0,,,,,,,,,,
148,150657.0,,,,,,,,,,
149,30782.0,,,,,,,,,,
150,191560.0,,,,,,,,,,
151,52593.0,,,,,,,,,,
