,code,korean_title,num_of_audience,scores_10s,score_20s,score_30s,score_40s,score_50_up,num_of_male,num_of_female,num_of_10s,num_of_20s,num_of_30s,num_of_40s,num_of_50_up
62,189141,삼진그룹 영어토익반,699.0,9.68,9.06,8.85,8.95,9.02,280,419,42,343,175,98,42
63,192146,헌트,3.0,0.0,9.0,7.0,8.0,0.0,2,1,0,1,1,1,0
69,10676,타이페이 스토리,27.0,0.0,8.36,8.25,8.8,8.33,15,12,0,11,8,5,3
74,164956,틴 스피릿,6.0,0.0,8.0,8.0,0.0,0.0,6,0,0,5,1,0,0
79,96984,누구의 딸도 아닌 해원,6.0,0.0,9.0,0.0,0.0,0.0,3,3,0,6,0,0,0
80,95473,고양이를 빌려드립니다,1.0,0.0,5.0,0.0,0.0,0.0,1,0,0,1,0,0,0
83,168019,리지,25.0,8.0,7.88,6.0,0.0,8.67,6,19,1,16,5,0,3
84,159863,라플라스의 마녀,16.0,5.67,7.11,9.0,2.0,0.0,4,12,3,9,3,1,0
87,179399,기도하는 남자,2.0,0.0,10.0,7.0,0.0,0.0,1,1,0,1,1,0,0
88,185150,이장,15.0,0.0,9.08,10.0,7.0,0.0,5,10,0,12,2,1,0
89,171455,하이 라이프,6.0,0.0,7.0,1.0,8.0,0.0,3,3,0,3,1,2,0
90,180385,니나 내나,3.0,7.5,9.0,0.0,0.0,0.0,2,1,2,1,0,0,0
91,174530,시민 노무현,24.0,0.0,9.6,9.56,9.43,10.0,6,18,0,5,9,7,3
94,199406,미드나이트 스카이,5.0,0.0,6.67,0.0,8.0,10.0,5,0,0,3,0,1,1
96,179307,벌새,967.0,9.51,8.91,8.93,9.2,8.92,280,687,39,532,242,97,48
97,177508,강변호텔,114.0,0.0,7.77,7.78,8.22,6.25,63,51,0,52,44,9,8
99,175393,국제수사,179.0,6.0,7.07,7.17,7.74,6.95,88,91,4,57,61,39,20
100,189001,인비저블맨,329.0,8.8,8.73,8.96,9.0,8.77,184,145,7,164,89,39,30
101,166092,PMC: 더 벙커,1168.0,6.57,6.51,6.62,6.46,6.5,642,526,47,491,292,234,105
102,193970,더 프롬,4.0,10.0,10.0,8.0,0.0,0.0,1,3,1,1,2,0,0
105,154672,"안녕, 티라노: 영원히, 함께",163.0,9.0,9.0,8.52,8.63,8.67,34,129,2,15,93,51,3
107,191677,엠마,3.0,0.0,7.5,0.0,0.0,8.0,3,0,0,2,0,0,1
109,191585,맹크,15.0,0.0,7.44,7.17,0.0,0.0,11,4,0,9,6,0,0
112,180025,해치지않아,402.0,6.0,7.06,7.45,7.71,7.04,177,225,8,145,113,113,24
113,152385,꾼,4320.0,8.7,8.35,8.17,8.28,8.37,2203,2117,173,2290,950,648,259
114,153620,치즈인더트랩,121.0,7.29,7.15,8.73,6.86,9.2,31,90,7,80,22,7,5
117,179875,비스트,269.0,8.33,7.92,8.34,8.32,8.79,194,75,3,102,81,59,24
118,198754,힐빌리의 노래,6.0,0.0,10.0,9.33,10.0,8.0,2,4,0,1,3,1,1
119,181704,로켓맨,176.0,8.0,8.65,9.03,8.32,9.06,69,107,2,70,67,19,18
127,159866,닥터 두리틀,650.0,7.71,7.85,8.33,8.32,7.78,286,364,20,221,221,156,39
128,185933,캣츠,576.0,5.11,5.79,6.5,7.17,6.89,265,311,17,196,156,150,58
136,192624,트라이얼 오브 더 시카고 7,8.0,0.0,8.33,10.0,0.0,6.0,4,4,0,6,1,0,1
140,172118,극장판 도라에몽: 진구의 보물섬,361.0,10.0,9.41,8.93,8.91,8.5,97,264,4,22,202,126,7
152,162148,샘,11.0,0.0,8.67,9.5,10.0,8.0,3,8,0,6,2,1,2
153,154508,용순,74.0,6.5,8.17,8.04,8.38,8.0,23,51,4,36,25,8,1
154,168405,여중생A,138.0,7.0,7.0,8.36,8.03,7.67,43,95,11,77,14,30,6
155,159805,흥부: 글로 세상을 바꾼 자,364.0,3.67,6.72,7.27,6.81,7.03,157,207,7,153,116,62,29
156,187366,극장판 헬로카봇 : 달나라를 구해줘!,375.0,0.0,7.91,7.91,7.99,7.0,101,274,0,22,274,75,0
158,189260,라스트 크리스마스,78.0,6.5,7.36,6.78,7.0,8.2,35,43,4,39,18,12,5
167,140656,커런트 워,15.0,0.0,7.5,8.33,8.33,5.67,8,7,0,6,3,3,3
173,170860,기도의 막이 내릴 때,1.0,0.0,0.0,0.0,8.0,0.0,1,0,0,0,0,1,0
175,168045,바이스,98.0,0.0,8.52,8.9,8.85,8.59,43,55,0,29,39,13,17
176,182360,항거:유관순 이야기,1817.0,9.86,9.51,9.42,9.08,9.2,618,1199,91,799,400,418,127
177,96951,타짜: 원 아이드 잭,1503.0,7.86,6.56,6.8,7.13,7.28,977,526,0,631,496,271,105
178,181381,천문: 하늘에 묻는다,1256.0,9.24,8.78,8.82,8.83,8.68,691,565,13,402,402,289,151
179,179482,82년생 김지영,2199.0,9.69,9.33,8.96,8.87,8.72,616,1583,88,990,682,330,132
180,185838,히트맨,584.0,9.2,8.18,7.88,7.61,7.78,327,257,12,239,204,88,41
181,178544,사자,1196.0,8.15,7.57,8.13,8.05,8.29,574,622,48,478,335,239,96
182,196570,그레타 툰베리,4.0,0.0,10.0,0.0,9.0,0.0,4,0,0,2,0,2,0
187,180390,퍼펙트맨,457.0,8.1,8.72,8.45,8.0,8.71,247,210,9,197,133,82,37
189,178526,봉오동 전투,2580.0,9.56,9.11,8.99,9.07,8.92,1316,1264,77,980,697,568,232
190,154029,행복 목욕탕,104.0,10.0,8.73,9.05,8.92,9.44,43,61,1,45,37,12,9
191,189000,나이브스 아웃,587.0,8.81,9.05,9.01,8.81,8.35,294,294,23,270,170,70,53
193,76960,나쁜 녀석들 : 포에버,269.0,0.0,8.57,8.66,8.79,7.79,186,83,0,89,102,54,24
203,186613,작은 아씨들,551.0,9.26,9.27,8.95,8.94,9.09,182,369,28,270,127,83,50
209,187349,쥬만지: 넥스트 레벨,367.0,8.0,8.0,7.65,7.76,8.13,206,161,11,128,88,103,40
212,183110,예스터데이,230.0,4.83,7.82,8.29,8.82,7.52,133,97,7,97,62,44,21
217,85578,7년의 밤,436.0,3.3,6.08,5.79,6.34,6.71,214,222,9,209,122,65,26
218,174807,배반의 장미,114.0,10.0,7.85,8.1,8.0,7.88,47,67,1,46,51,8,8
219,175365,빅샤크: 매직체인지,151.0,0.0,8.33,7.52,7.74,0.0,29,122,0,12,112,27,0
220,177975,양아치 느와르,1.0,0.0,0.0,0.0,9.0,0.0,1,0,0,0,0,1,0
221,154986,아기와 나,7.0,0.0,9.0,6.67,0.0,0.0,3,4,0,4,3,0,0
228,177510,암전,50.0,5.0,5.39,5.25,4.0,2.33,32,18,5,31,8,3,3
229,190447,고양이 집사,8.0,0.0,10.0,10.0,10.0,0.0,4,4,0,1,5,2,0
231,181046,창간호,10.0,10.0,9.33,7.0,0.0,0.0,2,8,2,6,2,0,0
232,159070,자전차왕 엄복동,178.0,7.0,7.44,7.4,7.16,7.86,84,94,2,55,39,44,36
234,174294,성혜의 나라,11.0,0.0,7.83,10.0,10.0,8.5,7,4,0,6,1,2,2
235,164104,피의 연대기,137.0,9.62,9.69,9.34,9.75,8.0,22,115,8,86,38,4,1
239,189537,#살아있다,972.0,5.36,6.72,7.2,7.33,8.18,593,379,39,389,340,136,68
241,177374,증인,2480.0,9.28,9.15,9.11,9.16,9.21,1017,1463,124,992,570,546,273
242,169078,기묘한 가족,264.0,9.0,7.7,7.03,7.05,7.5,100,164,11,114,69,45,26
245,186821,정직한 후보,362.0,9.86,8.49,8.15,8.42,8.36,170,192,7,156,112,51,36
246,182355,분노의 질주: 홉스&amp;쇼,2104.0,8.77,8.94,8.89,8.6,8.6,1304,800,42,884,631,400,126
253,190720,젠틀맨,62.0,0.0,9.04,8.83,7.8,8.5,43,19,0,25,24,5,8
261,176306,남산의 부장들,2052.0,8.65,8.6,8.47,8.22,8.38,1354,698,21,677,821,369,164
262,74407,좀비랜드: 더블 탭,96.0,9.4,8.61,7.92,8.5,8.0,76,20,5,59,24,4,4
265,189712,코드 8,1.0,0.0,0.0,5.0,0.0,0.0,1,0,0,0,1,0,0
272,177509,미스터 주: 사라진 VIP,231.0,8.0,7.3,7.92,7.67,7.56,129,102,2,62,65,74,25
273,127858,추억의 마니,160.0,9.33,8.76,8.64,8.54,0.0,53,107,6,86,42,26,0
275,39640,하울의 움직이는 성,541.0,9.66,9.31,9.22,9.39,9.09,168,373,81,243,124,76,11
281,183876,시동,1799.0,8.59,8.65,8.65,8.77,8.43,989,810,36,684,558,396,126
283,185131,김복동,169.0,9.71,9.76,9.91,9.87,10.0,49,120,7,69,46,39,7
286,172113,이별의 아침에 약속의 꽃을 장식하자,82.0,9.0,9.13,9.18,9.0,9.0,47,35,9,47,11,12,3
287,175318,너의 췌장을 먹고 싶어,132.0,9.25,8.31,8.05,8.75,9.25,88,44,20,71,21,16,4
292,146534,자백,746.0,9.73,9.54,9.68,9.58,9.52,373,373,7,216,239,194,82
293,165022,호텔 뭄바이,126.0,10.0,9.21,9.06,8.75,9.11,71,55,1,52,35,20,18
294,154419,레이디 맥베스,135.0,10.0,7.87,7.98,8.0,7.7,39,96,1,70,40,14,9
298,182387,윤희에게,505.0,9.65,9.4,9.07,8.58,8.26,126,379,30,293,126,30,25
299,189053,블랙머니,860.0,9.7,8.73,8.82,8.72,8.51,473,387,9,413,241,129,69
300,190026,숀더쉽 더 무비: 꼬마 외계인 룰라!,32.0,8.0,9.93,9.45,10.0,10.0,7,25,1,14,11,3,3
305,173653,"그날, 바다",1554.0,9.6,9.84,9.83,9.81,9.76,715,839,16,420,528,451,140
306,179430,모어 댄 블루,25.0,7.0,7.94,9.0,8.0,0.0,12,13,4,17,3,1,0
307,132946,4등,115.0,10.0,8.6,8.82,8.61,9.67,41,74,1,49,38,23,3
309,130267,다시..올래,2.0,0.0,0.0,10.0,10.0,0.0,2,0,0,0,1,1,0
315,164172,내안의 그놈,1716.0,9.14,8.84,8.7,8.49,8.63,721,995,103,892,360,275,103
316,180381,장난스런 키스,497.0,9.08,8.36,8.19,8.65,9.36,114,383,94,268,55,70,10
321,182205,가장 보통의 연애,1294.0,8.93,8.54,8.64,8.4,8.03,595,699,26,634,401,168,65
322,175404,두번할까요,94.0,0.0,7.52,7.81,5.36,5.83,41,53,0,50,27,11,6
325,180374,마이펫의 이중생활2,839.0,9.71,9.06,9.01,8.93,8.71,201,638,17,143,369,294,25
326,177381,펭귄 하이웨이,67.0,8.8,6.74,7.26,7.69,0.0,34,33,5,27,19,16,0
328,174797,판소리 복서,138.0,0.0,9.16,9.3,8.96,9.47,69,69,0,58,40,23,17
329,189111,두 교황,131.0,0.0,8.95,9.31,9.46,9.47,54,77,0,22,48,28,31
333,182014,미드소마,257.0,6.25,7.59,7.94,7.75,7.25,113,144,5,170,64,15,5
334,188056,결혼 이야기,168.0,9.0,9.04,8.87,8.78,8.56,64,104,2,71,69,18,8
335,175316,"힘을 내요, 미스터 리",592.0,8.08,8.38,8.55,8.11,8.42,266,326,12,201,189,154,36
336,164968,노 게임 노 라이프 -제로-,1.0,0.0,8.0,0.0,0.0,0.0,1,0,0,1,0,0,0
337,164155,벽 속에 숨은 마법시계,248.0,7.3,7.41,8.0,8.64,7.31,94,154,10,92,72,62,12
343,154298,아이리시맨,264.0,7.0,9.15,8.51,8.81,8.61,211,53,0,116,82,32,32
344,142266,그대 이름은 장미,79.0,10.0,7.79,6.77,7.65,7.58,32,47,3,34,13,17,12
350,179158,유열의 음악앨범,794.0,7.52,7.59,7.84,8.09,8.23,302,492,32,326,238,143,64
351,187526,더 킹: 헨리 5세,81.0,10.0,8.36,8.41,8.22,8.6,32,49,1,25,27,18,10
355,142699,원라인,923.0,8.83,8.66,8.55,8.77,9.08,462,462,37,563,185,92,46
364,174301,카메라를 멈추면 안 돼!,663.0,9.15,9.17,9.0,8.87,8.59,325,338,13,332,239,66,20
366,150637,남한산성,4802.0,7.83,8.21,8.09,8.13,8.35,2689,2113,144,2017,1249,1008,432
367,140696,희생부활자,355.0,6.15,6.52,7.07,6.29,7.0,174,181,21,192,82,50,11
368,181912,파이브 피트,123.0,8.93,9.33,9.21,7.27,8.44,39,84,15,64,25,11,9
369,168086,원더랜드,57.0,0.0,7.0,8.45,8.75,0.0,12,45,0,2,31,24,0
373,171750,여곡성,7.0,1.0,3.67,6.0,8.5,0.0,6,1,1,3,1,2,0
374,167374,뷰티풀 데이즈,25.0,7.0,8.17,8.44,8.0,9.0,10,15,1,12,9,1,2
379,162173,노무현입니다,3295.0,9.42,9.47,9.55,9.47,9.37,1417,1878,66,1153,1087,758,231
380,146506,군함도,9106.0,7.36,7.13,7.31,7.66,7.77,4189,4917,364,3642,2368,2003,637
381,121303,빅터 영 페레즈,1.0,0.0,9.0,0.0,0.0,0.0,1,0,0,1,0,0,0
382,137008,리얼,651.0,4.58,4.3,4.31,5.02,4.54,319,332,33,332,163,91,39
383,154112,불한당: 나쁜 놈들의 세상,1071.0,8.74,8.41,7.87,7.66,7.49,536,536,32,589,268,129,54
384,134895,봉이 김선달,2693.0,8.86,8.3,8.04,8.24,8.34,1077,1616,135,1185,619,592,162
385,144280,임금님의 사건수첩,2547.0,8.4,8.03,7.87,8.18,8.3,1044,1503,76,1095,637,586,153
386,146469,택시운전사,18925.0,9.59,9.35,9.2,9.18,9.16,8706,10220,757,8516,4920,3596,1136
387,127382,조작된 도시,3974.0,8.49,8.47,8.57,8.77,8.78,1947,2027,199,1987,874,755,199
388,142384,공조,14089.0,9.29,8.88,8.67,8.83,8.92,6481,7608,423,6058,3522,3100,986
389,146530,장기왕: 가락시장 레볼루션,24.0,0.0,9.45,8.82,7.0,8.0,7,17,0,11,11,1,1
391,143473,아빠는 딸,1065.0,9.22,8.58,8.29,8.64,8.46,532,532,53,682,192,117,32
392,142304,뚜르: 내 생애 최고의 49일,103.0,0.0,9.7,9.57,9.05,9.3,59,44,0,37,37,19,10
393,175040,수영장으로 간 남자들,33.0,9.0,8.8,9.18,10.0,9.0,12,21,1,10,17,1,4
395,174627,헬 페스트,4.0,0.0,6.0,8.0,6.0,0.0,1,3,0,2,1,1,0
396,144266,후드,332.0,8.71,8.11,8.06,8.05,8.04,199,133,7,149,90,56,27
400,154270,몰리스 게임,24.0,9.0,8.0,8.5,10.0,8.33,14,10,2,10,6,3,3
404,149059,세일즈맨,45.0,10.0,8.25,8.6,8.29,8.5,26,19,1,20,15,7,2
405,164139,범블비,1720.0,9.42,8.81,8.62,8.78,8.75,946,774,52,636,550,430,69
406,10922,고령가 소년 살인사건,62.0,8.0,9.22,9.07,8.75,8.0,24,38,1,41,15,4,1
414,146508,죽여주는 여자,316.0,8.83,8.48,8.66,8.35,7.85,92,224,6,164,70,41,35
415,160721,박화영,277.0,8.19,8.89,8.88,8.5,9.25,119,158,17,208,42,6,3
416,141206,궁합,1817.0,6.81,7.43,7.22,7.87,7.72,672,1145,36,781,436,382,164
417,157974,살인소설,44.0,10.0,7.73,6.67,7.23,0.0,25,19,1,15,15,13,0
418,63969,카모메 식당,5.0,0.0,9.0,8.0,10.0,9.0,5,0,0,2,1,1,1
421,168298,지금 만나러 갑니다,2497.0,9.32,9.07,8.88,8.7,8.77,1199,1298,75,1448,649,225,75
423,140652,너의 결혼식,5310.0,9.43,9.12,8.68,8.65,8.53,2443,2867,372,3345,903,478,159
430,146524,보안관,4029.0,8.83,8.3,8.11,8.22,8.23,2014,2014,161,2216,886,564,201
431,153652,청년경찰,7543.0,9.4,9.17,8.85,8.69,8.55,3394,4149,453,4375,1433,981,302
432,120165,해어화,710.0,8.09,8.32,7.91,8.4,8.35,248,462,14,383,170,99,50
438,167105,암수살인,6161.0,8.9,8.67,8.49,8.32,8.51,3265,2896,185,3265,1602,801,308
442,164173,뺑반,1448.0,7.07,7.23,6.8,7.3,7.41,565,883,87,666,333,217,130
443,165748,조선명탐정: 흡혈괴마의 비밀,2009.0,7.53,7.44,7.61,7.64,7.12,964,1045,60,804,563,442,121
447,159716,나의 서른에게,19.0,0.0,8.5,9.5,10.0,0.0,5,14,0,14,4,1,0
448,164151,변산,448.0,8.0,8.39,8.1,8.7,8.13,202,246,13,211,112,81,31
450,10101,로마의 휴일,4.0,10.0,10.0,9.5,0.0,0.0,1,3,1,1,2,0,0
451,148946,키코리키: 황금모자의 비밀,43.0,0.0,7.4,7.23,7.45,10.0,6,37,0,5,26,11,1
452,159877,레슬러,647.0,3.64,6.37,6.75,6.39,6.77,278,369,19,252,181,142,45
453,155716,박열,3216.0,9.13,8.58,8.27,8.29,8.27,1608,1608,129,1833,675,386,161
462,159848,더 포스트,326.0,9.25,8.76,8.74,8.62,9.04,150,176,7,137,85,39,55
463,159146,부에나 비스타 소셜 클럽2: 아디오스,24.0,0.0,9.33,9.18,10.0,7.2,9,15,0,6,11,2,5
464,145292,"당신, 거기 있어줄래요",2889.0,9.14,8.86,8.52,8.39,8.78,1560,1329,173,2080,376,173,87
466,167099,사바하,1920.0,6.5,7.3,7.69,7.36,7.45,1094,826,38,960,557,250,96
467,92125,헌터 킬러,101.0,10.0,9.03,8.86,8.86,9.2,84,17,3,32,29,22,15
475,144215,아토믹 블론드,351.0,8.25,8.07,7.88,8.02,8.32,183,168,4,197,84,49,18
479,31801,봄날은 간다,16.0,8.0,9.43,10.0,9.5,9.0,6,10,2,7,3,2,2
480,154625,대관람차,49.0,0.0,8.22,8.67,9.17,9.0,24,25,0,27,15,6,1
481,168172,로마서 8:37,35.0,0.0,9.28,8.92,9.0,5.0,19,16,0,18,13,3,1
482,159747,더 미드와이프,21.0,8.0,7.5,8.78,10.0,9.17,5,16,1,4,9,1,6
485,83528,북촌방향,8.0,0.0,9.0,8.33,10.0,0.0,4,4,0,4,3,1,0
486,172798,캡틴 스터비,22.0,0.0,10.0,9.38,8.29,0.0,5,17,0,2,13,7,0
488,169899,더 펜션,4.0,0.0,0.0,8.0,8.0,9.0,2,2,0,0,1,1,2
489,160009,내 친구 정일우,27.0,0.0,9.75,9.5,9.5,9.67,14,13,0,8,10,6,3
493,179840,마틸다: 황제의 연인,6.0,0.0,9.0,6.0,10.0,8.0,1,5,0,1,2,1,2
494,162265,행복의 나라,4.0,0.0,9.5,8.5,0.0,0.0,1,3,0,2,2,0,0
495,75744,옥희의 영화,22.0,10.0,8.86,9.17,8.0,0.0,9,13,1,14,6,1,0
498,154981,나의 연기 워크샵,31.0,9.0,7.95,7.57,0.0,0.0,16,15,3,21,7,0,0
499,146566,메이플쏘프,37.0,0.0,8.65,6.57,8.14,8.67,19,18,0,17,7,7,6
500,159827,클레어의 카메라,105.0,7.0,7.39,7.55,8.11,9.5,49,56,1,49,44,9,2
501,175727,극장판 헬로카봇 : 백악기 시대,1817.0,0.0,9.27,9.38,9.04,8.94,382,1435,0,109,1363,327,18
502,162423,튼튼이의 모험,24.0,0.0,9.3,8.25,8.0,7.0,13,11,0,10,8,4,2
503,159670,알리바이 닷 컴,3.0,0.0,0.0,4.0,4.0,10.0,1,2,0,0,1,1,1
504,172040,리즈와 파랑새,119.0,9.24,9.12,8.37,9.4,8.0,75,44,17,76,19,5,2
505,159731,한낮의 유성,14.0,0.0,9.86,8.0,8.8,0.0,4,10,0,7,2,5,0
506,167107,땐뽀걸즈,199.0,9.45,9.45,9.53,8.87,9.62,44,155,12,109,56,16,8
507,75378,파수꾼,10.0,10.0,10.0,8.75,0.0,0.0,2,8,1,5,4,0,0
509,54970,하하하,9.0,0.0,9.0,8.33,9.0,0.0,3,6,0,4,3,2,0
511,159894,살아남은 아이,47.0,6.67,9.0,8.59,8.33,9.29,17,30,3,17,17,3,7
517,153580,악질경찰,249.0,0.0,7.25,6.49,7.92,7.67,152,97,0,107,80,37,25
518,181104,유랑지구,49.0,10.0,8.04,7.33,7.4,8.0,36,13,1,26,12,5,5
520,142739,바람 바람 바람,1390.0,5.96,6.54,7.0,6.49,6.75,667,723,28,737,348,195,83
521,99752,군도:민란의 시대,6115.0,7.57,7.3,7.31,7.36,7.49,3058,3058,428,2752,1651,978,245
522,167787,허스토리,406.0,9.63,9.68,9.41,8.96,9.57,85,321,28,227,81,45,20
523,159311,소공녀,497.0,8.88,9.26,9.19,9.14,8.12,159,338,15,328,109,35,10
533,154653,툴리,70.0,0.0,9.11,9.1,8.5,7.86,15,55,0,27,30,6,7
534,163533,안시성,10484.0,8.81,8.57,8.55,8.74,8.75,5242,5242,210,3565,2831,2831,1153
537,164106,협상,1797.0,8.72,8.09,8.06,8.32,8.38,881,916,54,881,431,305,126
539,152680,시카리오: 데이 오브 솔다도,104.0,9.0,8.68,9.14,8.86,8.5,73,31,2,34,37,21,10
540,167602,나를 차버린 스파이,25.0,0.0,8.21,7.8,0.0,10.0,7,18,0,19,5,0,1
558,152344,언니,164.0,10.0,7.37,6.82,7.27,7.94,97,67,2,59,49,38,16
564,173833,배드 사마리안,12.0,0.0,8.57,8.0,8.0,6.0,5,7,0,7,3,1,1
577,157297,마약왕,3144.0,6.71,7.15,7.1,7.21,7.62,1824,1320,31,1352,943,534,283
578,172420,유전,350.0,8.04,7.92,7.67,8.04,9.0,140,210,28,203,88,24,7
580,152669,엔테베 작전,2.0,0.0,0.0,7.0,0.0,8.0,2,0,0,0,1,0,1
581,154437,내 사랑,1589.0,8.92,9.08,9.27,9.21,9.21,445,1144,16,620,493,270,191
584,163744,"소녀, 하늘을 날다!",1.0,0.0,10.0,0.0,0.0,0.0,1,0,0,1,0,0,0
585,140010,사랑하기 때문에,655.0,7.93,8.54,8.07,8.43,8.08,242,413,26,360,131,105,39
590,153687,공작,6594.0,7.69,7.8,7.82,7.93,8.11,3495,3099,198,2704,1648,1385,659
596,173884,리벤져,21.0,0.0,9.83,9.17,8.0,0.0,7,14,0,12,6,3,0
598,167697,신과함께-인과 연,13435.0,9.07,8.62,8.62,8.6,8.4,5643,7792,672,5240,3627,3090,806
600,176622,미스터 앤 미스터 대디,1.0,0.0,0.0,8.0,0.0,0.0,1,0,0,0,1,0,0
602,172980,12번째 솔저,4.0,0.0,0.0,9.5,9.5,0.0,3,1,0,0,2,2,0
605,143416,미드나잇 선,461.0,9.31,8.8,8.67,8.57,8.27,171,290,46,300,74,28,14
607,156417,너와 100번째 사랑,246.0,8.52,8.59,7.39,9.0,10.0,71,175,62,145,22,15,0
608,153279,극장판 도라에몽:진구의 남극 꽁꽁 대모험,327.0,9.2,8.38,8.73,8.66,7.67,72,255,7,26,177,114,3
610,178097,로마,1492.0,9.1,9.12,9.25,9.27,9.13,612,880,15,537,492,224,209
613,165321,케이크메이커,94.0,8.33,7.5,7.95,8.27,8.11,24,70,3,32,39,11,9
617,158652,저니스 엔드,6.0,0.0,9.75,10.0,8.0,0.0,2,4,0,4,1,1,0
628,155715,7호실,411.0,8.32,6.67,7.84,6.86,7.17,160,251,33,206,90,58,25
629,159830,너의 췌장을 먹고 싶어,204.0,9.69,8.28,8.22,8.0,8.57,124,80,16,114,47,20,6
633,168059,브레이븐,5.0,0.0,10.0,9.0,10.0,0.0,2,3,0,2,2,1,0
637,195681,팔로우 미,2.0,0.0,9.0,0.0,0.0,0.0,1,1,0,2,0,0,0
639,168479,식스 빌로우,1.0,0.0,0.0,0.0,10.0,0.0,1,0,0,0,0,1,0
645,142324,데스노트: 더 뉴 월드,114.0,6.33,7.25,8.0,8.0,0.0,71,43,3,71,34,6,0
646,156091,심야식당2,213.0,6.0,8.93,8.82,7.9,9.22,106,106,0,113,70,19,9
651,157500,마이펫 오지,181.0,8.33,7.77,7.92,8.38,10.0,36,145,4,13,103,62,2
652,133129,"고산자, 대동여지도",1399.0,8.26,7.88,8.06,8.07,8.27,658,741,28,546,364,322,126
653,140731,분노의 질주: 더 익스트림,6166.0,9.37,9.26,9.13,8.91,9.02,3576,2590,123,3330,1665,740,247
657,109906,인랑,1410.0,4.64,4.47,5.75,6.15,6.6,719,691,85,634,310,282,127
658,171490,나의 작은 시인에게,111.0,7.0,9.02,7.94,8.46,8.2,31,80,1,48,34,13,16
665,133424,데몰리션,531.0,9.8,8.47,8.36,8.44,8.23,212,319,5,276,175,48,32
668,57723,타짜,38.0,0.0,8.94,9.6,9.0,9.6,22,16,0,16,15,2,5
680,146407,다크타워: 희망의 탑,199.0,9.0,7.44,7.32,7.07,7.36,133,66,6,88,66,28,14
681,35939,클래식,14.0,10.0,9.62,10.0,10.0,0.0,7,7,1,8,2,3,0
684,121090,우리는 형제입니다,558.0,7.71,7.66,7.62,7.73,7.56,240,318,39,324,106,78,11
691,158885,콜 미 바이 유어 네임,911.0,9.0,9.18,9.04,9.21,9.0,146,765,27,537,246,82,18
693,152656,쥬만지: 새로운 세계,2222.0,8.71,8.55,8.37,8.28,7.93,1000,1222,89,1111,489,444,89
699,136893,좋아해줘,1003.0,8.72,8.6,8.45,8.63,9.24,391,612,80,572,211,110,30
701,88227,블레이드 러너 2049,646.0,8.2,8.3,8.27,7.96,8.14,446,200,13,252,200,142,45
708,143402,베이비 드라이버,1160.0,8.57,8.44,8.36,8.32,8.15,638,522,35,719,278,104,23
713,149512,재심,3842.0,8.69,8.73,8.71,8.57,8.78,1959,1883,154,2190,807,499,231
719,151196,원더,319.0,10.0,9.45,9.47,9.32,9.56,93,226,6,108,86,93,26
720,158631,허리케인 하이스트,243.0,7.5,8.86,8.29,7.85,8.42,114,129,2,119,68,41,12
723,146489,패딩턴 2,436.0,8.88,9.22,9.15,9.09,9.08,109,327,9,78,179,161,13
732,143373,"사랑, 스무살",14.0,5.0,6.6,8.2,8.0,8.5,4,10,1,5,5,1,2
733,145376,최강전사 미니특공대 : 영웅의 탄생,495.0,8.0,8.69,8.52,8.18,5.0,139,356,0,35,371,84,5
735,143460,러빙,32.0,0.0,8.33,8.2,8.5,7.33,13,19,0,15,10,4,3
737,178456,은혼2: 규칙은 깨라고 있는 것,29.0,9.5,9.06,10.0,10.0,9.5,11,18,2,17,5,3,2
739,110333,레지던트 이블: 파멸의 날,2328.0,9.2,8.74,8.43,8.38,8.31,1467,861,47,1187,722,303,93
740,168036,크리미널 스쿼드,11.0,0.0,6.6,10.0,5.0,8.0,6,5,0,5,1,3,2
750,152249,커뮤터,337.0,9.5,9.06,8.69,8.2,8.63,189,148,3,158,88,61,30
752,185267,데드 돈 다이,32.0,6.0,6.4,7.0,7.0,7.0,15,17,1,15,9,5,2
753,181286,바이올렛 에버가든 - 영원과 자동 수기 인형 -,17.0,0.0,8.92,10.0,9.33,0.0,14,3,0,13,1,3,0
754,165461,공범자들,982.0,10.0,9.66,9.63,9.59,9.45,412,570,10,285,285,275,137
755,152183,"무현, 두 도시 이야기",1301.0,8.0,9.44,9.47,9.46,9.36,598,703,13,351,481,351,104
756,164102,영주,100.0,9.67,9.45,8.81,9.89,9.67,25,75,9,55,21,9,6
757,160720,아기돼지 3형제와 매직램프,102.0,0.0,8.33,7.46,7.6,7.0,18,84,0,6,80,15,1
758,152486,사랑은 부엉부엉,45.0,10.0,7.67,7.67,7.5,0.0,6,39,1,27,15,2,0
759,155228,아버지와 이토씨,30.0,0.0,7.73,9.0,8.0,8.33,18,12,0,15,11,1,3
760,156930,파리 투 마르세유: 2주간의 여행,2.0,0.0,0.0,8.0,0.0,9.0,1,1,0,0,1,0,1
761,147835,미션 이스탄불,1.0,0.0,0.0,0.0,0.0,7.0,1,0,0,0,0,0,1
764,101966,토이 스토리 4,2704.0,9.45,9.27,9.24,9.09,9.13,1082,1622,54,1109,919,541,54
768,149516,리틀메딕: 몸속탐험대,170.0,1.0,8.9,7.9,7.8,8.5,37,133,2,10,128,31,2
769,134899,동주,2987.0,9.52,9.23,9.14,9.01,8.96,1075,1912,149,1643,568,418,179
770,151117,더 테이블,860.0,8.41,8.43,8.19,7.85,8.33,232,628,17,533,224,69,17
