,code,korean_title,num_of_audience,scores_10s,score_20s,score_30s,score_40s,score_50_up,num_of_male,num_of_female,num_of_10s,num_of_20s,num_of_30s,num_of_40s,num_of_50_up
1303,130983,트럼보,92.0,8.0,8.79,8.48,8.83,10.0,33,59,2,47,21,18,4
1306,129331,오 마이 그랜파,160.0,0.0,8.33,8.29,8.33,6.5,67,93,0,102,35,14,8
1307,129049,마션,7159.0,8.99,8.81,8.59,8.57,8.71,4009,3150,286,3651,1790,1217,286
1308,122469,히트맨: 에이전트 47,159.0,8.55,7.91,7.4,7.55,8.0,105,54,11,78,43,22,5
1312,192121,더 보이 2: 돌아온 브람스,2.0,0.0,0.0,4.0,10.0,0.0,1,1,0,0,1,1,0
1316,106557,선샤인 온 리스,29.0,3.5,6.78,6.8,8.75,0.0,10,19,2,18,5,4,0
1317,129333,스파이 브릿지,411.0,8.6,8.69,8.65,8.5,8.71,242,169,16,226,95,45,37
1318,95541,미션 임파서블: 로그네이션,8446.0,9.2,8.81,8.78,8.79,8.71,4223,4223,338,3294,2196,2112,507
1319,172819,구스범스: 몬스터의 역습,88.0,0.0,9.54,8.1,8.1,10.0,26,62,0,28,39,20,1
1320,117802,아메리칸 울트라,256.0,7.0,7.2,5.92,6.73,5.71,154,102,3,164,64,10,13
1328,122596,몬스터 호텔 2,4767.0,8.77,8.62,8.65,8.55,8.76,1049,3718,48,429,3003,1239,48
1329,118980,슬리핑 위드 아더 피플,15.0,0.0,7.43,8.0,8.0,0.0,5,10,0,7,2,6,0
1331,90596,샌 안드레아스,1520.0,8.78,8.38,7.9,8.4,8.63,882,638,76,851,365,167,61
1332,15899,공동경비구역 JSA,11.0,0.0,10.0,9.6,0.0,0.0,4,7,0,6,5,0,0
1335,127335,더 프레데터,307.0,8.0,7.73,7.11,6.92,6.61,224,83,3,141,92,49,21
1337,69956,터미네이터 제니시스,3328.0,8.89,8.31,7.99,7.78,8.25,2130,1198,100,1431,932,699,133
1339,107352,자객 섭은낭,90.0,0.0,8.06,7.82,7.75,8.56,40,50,0,36,33,12,9
1348,118950,스파이,2818.0,9.04,8.96,8.54,8.32,8.86,1437,1381,141,1775,535,254,85
1349,19303,모노노케 히메,2.0,10.0,6.0,0.0,0.0,0.0,2,0,1,1,0,0,0
1350,18781,이웃집 토토로,255.0,10.0,9.63,9.63,9.32,8.86,66,189,5,74,99,71,8
1351,103708,가구야공주 이야기,92.0,9.25,7.8,7.88,7.53,0.0,31,61,8,44,25,15,0
1354,32686,센과 치히로의 행방불명,425.0,9.76,9.65,9.44,9.23,9.2,136,289,47,255,81,38,4
1356,101961,모뉴먼츠 맨 : 세기의 작전,38.0,0.0,7.16,6.79,7.6,0.0,29,9,0,19,14,5,0
1359,94187,어메이징 스파이더맨 2,4725.0,8.62,8.18,7.84,7.8,7.87,2740,1984,378,2315,1181,756,94
1361,73318,시라노; 연애조작단,1.0,0.0,0.0,8.0,0.0,0.0,1,0,0,0,1,0,0
1362,112039,경성학교: 사라진 소녀들,578.0,6.37,6.22,7.03,6.74,7.25,243,335,46,364,104,46,17
1363,101236,포커스,63.0,8.5,8.06,7.93,7.62,5.5,34,29,6,33,14,8,2
1364,117790,기술자들,3307.0,8.56,7.86,7.47,7.95,8.14,1488,1819,496,1620,628,463,99
1365,105521,피끓는 청춘,793.0,7.26,7.48,7.48,7.87,8.07,325,468,87,396,151,127,32
1366,88426,건축학개론,6.0,10.0,9.0,10.0,0.0,0.0,3,3,1,3,2,0,0
1367,122535,악의 연대기,2224.0,8.57,8.25,7.84,8.48,8.55,1134,1090,156,1290,445,245,67
1369,120123,간신,1085.0,7.68,7.14,6.94,6.73,7.0,532,553,22,597,282,152,43
1370,93739,조선미녀삼총사,217.0,6.12,5.55,5.52,5.82,5.56,100,117,15,74,63,54,9
1371,108225,역린,3931.0,7.58,7.32,7.35,7.66,7.81,1926,2005,236,1730,1101,708,157
1373,112079,빅매치,810.0,8.66,7.78,7.63,7.83,8.47,446,364,40,446,219,81,32
1375,93028,용의자,55.0,9.0,8.24,8.0,8.8,0.0,32,23,1,25,19,10,0
1383,99096,주피터 어센딩,215.0,5.55,6.29,6.81,7.15,7.25,116,99,11,101,58,32,13
1385,61101,"색, 계",10.0,0.0,9.83,10.0,9.33,0.0,4,6,0,6,1,3,0
1393,109778,끝까지 간다,3227.0,9.04,8.9,8.66,8.72,8.66,1710,1517,194,1904,742,290,97
1396,87309,라이프 오브 파이,85.0,0.0,9.64,9.38,8.2,10.0,30,55,0,64,13,5,3
1397,114249,킹스맨 : 시크릿 에이전트,9653.0,9.34,9.16,8.82,8.5,8.69,5116,4537,290,6178,2220,676,290
1403,190727,할로윈 킬즈,9.0,0.0,7.33,5.0,0.0,0.0,5,4,0,6,3,0,0
1405,122473,포인트 브레이크,351.0,8.0,8.01,8.19,8.03,6.85,183,168,18,179,70,67,21
1409,127321,우먼 인 골드,425.0,9.5,8.76,8.86,9.12,9.02,119,306,8,157,136,72,47
1414,146212,수부라 게이트,11.0,0.0,6.0,8.0,0.0,8.67,8,3,0,7,1,0,3
1423,109982,테이큰 3,2557.0,8.64,8.17,7.68,7.85,8.23,1457,1100,153,1432,537,307,128
1425,195970,"조제, 호랑이 그리고 물고기들",32.0,9.67,9.25,9.0,10.0,9.0,25,7,3,16,7,3,3
1428,125841,스폰지밥3D,737.0,8.51,7.81,7.77,8.12,7.57,228,509,52,147,332,192,15
1432,45290,인터스텔라,16483.0,9.5,9.27,8.91,8.78,8.87,9725,6758,1319,8242,3626,2637,824
1434,118909,황제를 위하여,446.0,5.94,6.44,5.86,6.36,5.15,259,187,18,277,107,31,13
1437,72524,남극의 쉐프,2.0,0.0,0.0,8.5,0.0,0.0,1,1,0,0,2,0,0
1442,178654,택시 5,8.0,0.0,2.75,8.0,6.0,1.0,5,3,0,4,2,1,1
1443,164115,맘마미아!2,2908.0,9.45,9.18,9.06,8.94,8.88,785,2123,116,1221,698,582,291
1445,113377,엑소더스: 신들과 왕들,1066.0,7.27,6.94,6.74,7.3,7.67,586,480,53,405,341,192,85
1463,109095,무드 인디고,562.0,8.79,8.27,7.91,7.65,8.83,180,382,11,371,152,17,6
1464,16792,흐르는 강물처럼,4.0,0.0,0.0,10.0,8.5,0.0,3,1,0,0,2,2,0
1465,149248,메이즈 러너: 데스 큐어,2006.0,8.63,8.12,8.06,8.07,8.08,1003,1003,201,1143,321,281,80
1466,109169,송 원,49.0,1.0,5.1,5.57,5.0,0.0,23,26,1,40,7,1,0
1468,100676,폭스캐처,116.0,1.0,8.41,8.6,8.25,8.0,58,58,1,58,48,8,1
1469,94829,툼스톤,136.0,6.0,7.27,6.83,6.82,7.6,82,54,5,79,30,11,10
1471,137908,닌자터틀 : 어둠의 히어로,476.0,7.83,7.83,7.96,8.08,7.17,252,224,14,186,176,90,14
1472,113348,이미테이션 게임,2170.0,9.14,8.7,8.48,8.72,8.73,1085,1085,195,1280,347,239,108
1473,118397,더 홈즈맨,7.0,0.0,7.67,8.0,0.0,7.67,4,3,0,3,1,0,3
1474,99740,혹성탈출: 반격의 서막,4428.0,8.88,8.54,8.31,8.21,8.15,2613,1815,310,2037,1063,886,177
1476,191929,암살자들,6.0,0.0,9.33,8.0,0.0,0.0,3,3,0,3,3,0,0
1477,92075,어바웃 타임,206.0,9.69,9.34,9.31,9.36,8.0,97,109,12,130,43,10,8
1479,52555,조디악,8.0,0.0,9.4,6.5,10.0,0.0,1,7,0,5,2,1,0
1480,90589,엣지 오브 투모로우,4901.0,9.11,8.92,8.56,8.32,8.41,3137,1764,294,2549,1225,686,147
1483,66158,어거스트 러쉬,53.0,10.0,8.91,9.27,9.43,9.71,22,31,1,23,15,7,7
1487,118367,세인트 빈센트,62.0,9.75,8.29,8.42,8.93,7.67,33,29,4,28,12,15,3
1495,12787,베티블루 37.2,42.0,8.0,9.04,8.0,6.5,8.33,12,30,1,25,8,2,6
1497,125438,레고 무비2,208.0,10.0,8.61,9.01,8.71,0.0,79,129,2,19,87,100,0
1498,137327,고질라: 킹 오브 몬스터,495.0,9.17,8.22,8.14,7.74,8.26,381,114,5,188,168,109,25
1501,155411,반드시 잡는다,585.0,8.05,8.37,7.87,7.82,7.82,316,269,18,292,140,94,41
1502,160749,부라더,1400.0,8.06,7.92,7.6,7.59,7.69,728,672,84,854,252,154,56
1503,162824,저수지 게임,585.0,9.5,9.63,9.75,9.67,9.54,240,345,0,99,263,187,35
1514,125494,퍼시픽 림: 업라이징,1234.0,8.04,8.05,7.91,7.78,7.85,839,395,25,506,444,222,37
1519,97631,맨 인 블랙: 인터내셔널,514.0,5.58,6.29,6.16,7.32,7.0,288,226,10,221,154,103,26
1520,72054,다크 나이트 라이즈,16.0,10.0,9.5,9.5,10.0,0.0,13,3,1,6,8,1,0
1521,18878,이보다 더 좋을 순 없다,24.0,0.0,9.5,8.45,7.88,8.0,13,11,0,4,11,8,1
1522,91192,300: 제국의 부활,1368.0,8.24,7.81,7.2,6.91,8.02,876,492,27,752,410,137,41
1527,103765,아더 우먼,66.0,7.75,7.84,7.47,7.5,7.67,23,43,4,38,19,2,3
1530,97858,월터의 상상은 현실이 된다,209.0,8.43,8.95,8.5,9.0,9.0,92,117,15,125,54,13,2
1548,97612,그랜드 부다페스트 호텔,2612.0,8.58,8.75,8.63,8.79,8.52,1019,1593,78,1515,757,209,78
1554,189150,분노의 질주: 더 얼티메이트,1366.0,9.23,8.76,8.7,8.88,9.14,820,546,27,478,464,273,123
1555,100691,트랜스포머: 사라진 시대,6003.0,8.0,7.36,7.34,7.61,7.83,3662,2341,300,2641,1921,960,120
1557,103324,리오 2,1229.0,8.46,7.83,7.92,8.0,8.19,356,873,25,98,774,320,12
1561,95203,로렌스 애니웨이 ,138.0,8.56,8.83,8.07,8.38,0.0,30,108,10,94,28,8,0
1564,78726,도둑들,1.0,0.0,8.0,0.0,0.0,0.0,1,0,0,1,0,0,0
1565,124290,엘리노어 릭비: 그남자 그여자,209.0,7.0,7.8,7.67,6.21,4.5,67,142,2,127,65,15,2
1569,86335,다른나라에서,1.0,0.0,0.0,8.0,0.0,0.0,1,0,0,0,1,0,0
1570,32667,복수는 나의 것,3.0,0.0,9.0,8.0,0.0,0.0,2,1,0,2,1,0,0
1572,10546,아비정전,195.0,7.86,8.82,8.88,8.8,9.38,49,146,8,113,57,10,8
1575,11031,열혈남아,5.0,0.0,10.0,4.0,0.0,8.0,5,0,0,3,1,0,1
1576,119457,이브 생 로랑,117.0,7.0,8.12,7.85,7.71,5.5,35,82,1,81,26,7,2
1579,51777,월드워Z,7.0,0.0,9.5,8.33,0.0,0.0,7,0,0,4,3,0,0
