,code,spa_10s_npa_10s,spa_20s_npa_20s,spa_30s_npa_30s,spa_40s_npa_40s,spa_50s_npa_50s
161,,,,,,
162,,,,,,
163,,,,,,
164,,,,,,
165,,,,,,
166,,,,,,
167,140656.0,0.0,3.0,1.67,1.67,1.13
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
172,,,,,,
173,170860.0,0.0,0.0,0.0,8.0,0.0
174,,,,,,
175,168045.0,0.0,2.56,3.56,1.15,1.46
176,182360.0,0.49,4.18,2.07,2.09,0.64
177,96951.0,0.0,2.76,2.24,1.28,0.51
178,181381.0,0.09,2.81,2.82,2.03,1.04
179,179482.0,0.39,4.2,2.78,1.33,0.52
180,185838.0,0.18,3.35,2.76,1.14,0.54
181,178544.0,0.33,3.03,2.28,1.61,0.66
182,196570.0,0.0,5.0,0.0,4.5,0.0
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,180390.0,0.16,3.75,2.45,1.44,0.7
188,,,,,,
189,178526.0,0.29,3.46,2.43,2.0,0.8
190,154029.0,0.1,3.75,3.26,1.07,0.85
191,189000.0,0.35,4.16,2.61,1.06,0.75
192,,,,,,
193,76960.0,0.0,2.83,3.29,1.76,0.7
194,,,,,,
195,,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,,,,,,
202,,,,,,
203,186613.0,0.46,4.54,2.06,1.34,0.82
204,,,,,,
205,,,,,,
206,,,,,,
207,,,,,,
208,,,,,,
209,187349.0,0.24,2.8,1.84,2.17,0.89
210,,,,,,
211,,,,,,
212,183110.0,0.14,3.28,2.24,1.68,0.68
213,,,,,,
214,,,,,,
215,,,,,,
216,,,,,,
217,85578.0,0.07,2.92,1.62,0.95,0.4
218,174807.0,0.1,3.14,3.65,0.56,0.55
219,175365.0,0.0,0.67,5.56,1.39,0.0
220,177975.0,0.0,0.0,0.0,9.0,0.0
221,154986.0,0.0,5.13,2.87,0.0,0.0
222,,,,,,
223,,,,,,
224,,,,,,
225,,,,,,
226,,,,,,
227,,,,,,
228,177510.0,0.5,3.34,0.84,0.24,0.14
229,190447.0,0.0,1.2,6.2,2.5,0.0
230,,,,,,
231,181046.0,2.0,5.6,1.4,0.0,0.0
232,159070.0,0.07,2.31,1.63,1.79,1.57
233,,,,,,
234,174294.0,0.0,4.31,0.9,1.8,1.53
235,164104.0,0.58,6.1,2.62,0.29,0.08
