PID,성별,연령,직업,ott 주중 이용시간대,ott 주말 이용시간대
253701,여,64,주부,15:00~17:59,12:00~14:59
253801,여,55,주부,12:00~14:59,이용하지 않음
254601,남,65,생산직,21:00~23:59,21:00~23:59
255401,여,48,서비스/판매직,21:00~23:59,21:00~23:59
255502,남,24,생산직,이용하지 않음,21:00~23:59
255601,여,51,무직,21:00~23:59,21:00~23:59
255701,남,29,생산직,18:00~20:59,18:00~20:59
255801,여,48,서비스/판매직,21:00~23:59,21:00~23:59
255901,여,68,서비스/판매직,18:00~20:59,18:00~20:59
256001,여,50,서비스/판매직,21:00~23:59,21:00~23:59
256101,여,51,주부,21:00~23:59,21:00~23:59
256201,여,44,서비스/판매직,9:00~11:59,18:00~20:59
256401,여,26,사무직,21:00~23:59,21:00~23:59
256501,여,69,주부,21:00~23:59,21:00~23:59
256601,여,60,주부,9:00~11:59,15:00~17:59
257001,남,41,사무직,12:00~14:59,18:00~20:59
257002,여,37,사무직,12:00~14:59,21:00~23:59
257301,여,29,서비스/판매직,9:00~11:59,21:00~23:59
257302,남,45,생산직,21:00~23:59,15:00~17:59
257601,남,47,사무직,18:00~20:59,15:00~17:59
257602,여,42,사무직,12:00~14:59,15:00~17:59
257701,여,59,주부,이용하지 않음,15:00~17:59
257802,여,23,학생,21:00~23:59,15:00~17:59
258001,여,46,서비스/판매직,21:00~23:59,21:00~23:59
258201,여,50,사무직,12:00~14:59,15:00~17:59
258301,여,56,주부,12:00~14:59,이용하지 않음
258302,남,55,생산직,15:00~17:59,15:00~17:59
258501,남,49,생산직,18:00~20:59,18:00~20:59
258601,남,53,생산직,18:00~20:59,18:00~20:59
258602,여,55,생산직,15:00~17:59,18:00~20:59
258701,여,57,생산직,15:00~17:59,15:00~17:59
258801,여,47,생산직,12:00~14:59,12:00~14:59
258802,남,54,생산직,18:00~20:59,18:00~20:59
262001,남,26,서비스/판매직,21:00~23:59,12:00~14:59
262101,남,52,서비스/판매직,12:00~14:59,12:00~14:59
262102,여,49,서비스/판매직,21:00~23:59,21:00~23:59
262201,여,51,주부,12:00~14:59,12:00~14:59
262202,여,29,무직,18:00~20:59,12:00~14:59
262203,남,24,무직,15:00~17:59,15:00~17:59
262204,여,22,서비스/판매직,18:00~20:59,18:00~20:59
262301,여,57,주부,12:00~14:59,12:00~14:59
262401,여,31,사무직,21:00~23:59,12:00~14:59
262502,남,42,생산직,21:00~23:59,21:00~23:59
262601,여,58,주부,15:00~17:59,15:00~17:59
262602,남,23,학생,18:00~20:59,18:00~20:59
262701,여,50,주부,12:00~14:59,12:00~14:59
262801,여,45,사무직,12:00~14:59,15:00~17:59
262802,남,47,생산직,21:00~23:59,18:00~20:59
262901,여,53,주부,12:00~14:59,12:00~14:59
263001,남,33,무직,21:00~23:59,9:00~11:59
263501,여,37,주부,18:00~20:59,이용하지 않음
263503,여,15,학생,18:00~20:59,18:00~20:59
264001,남,30,서비스/판매직,18:00~20:59,이용하지 않음
264002,여,31,서비스/판매직,18:00~20:59,이용하지 않음
264103,여,30,사무직,21:00~23:59,21:00~23:59
264104,여,23,서비스/판매직,21:00~23:59,21:00~23:59
264302,여,56,서비스/판매직,9:00~11:59,이용하지 않음
264303,남,30,사무직,21:00~23:59,이용하지 않음
264304,여,27,서비스/판매직,21:00~23:59,21:00~23:59
264401,남,40,사무직,21:00~23:59,이용하지 않음
264402,여,36,주부,9:00~11:59,이용하지 않음
264601,남,39,서비스/판매직,21:00~23:59,21:00~23:59
264701,여,30,서비스/판매직,18:00~20:59,21:00~23:59
264801,여,27,서비스/판매직,21:00~23:59,18:00~20:59
265103,남,21,학생,21:00~23:59,21:00~23:59
265104,여,19,학생,21:00~23:59,21:00~23:59
265202,남,30,사무직,21:00~23:59,21:00~23:59
265501,여,64,주부,21:00~23:59,21:00~23:59
265701,남,74,무직,9:00~11:59,9:00~11:59
265801,남,53,사무직,12:00~14:59,12:00~14:59
265901,남,57,생산직,15:00~17:59,이용하지 않음
266001,남,45,무직,18:00~20:59,18:00~20:59
266101,여,52,주부,21:00~23:59,21:00~23:59
266201,남,54,생산직,9:00~11:59,9:00~11:59
266301,남,47,사무직,21:00~23:59,이용하지 않음
266401,남,38,사무직,21:00~23:59,21:00~23:59
266601,여,60,생산직,12:00~14:59,이용하지 않음
266801,남,57,서비스/판매직,이용하지 않음,15:00~17:59
266802,여,52,서비스/판매직,이용하지 않음,12:00~14:59
267501,남,57,서비스/판매직,12:00~14:59,이용하지 않음
267601,여,60,생산직,이용하지 않음,12:00~14:59
268301,여,54,주부,15:00~17:59,15:00~17:59
268401,남,50,사무직,12:00~14:59,12:00~14:59
268501,여,57,서비스/판매직,24:00~5:59,21:00~23:59
268701,여,42,서비스/판매직,15:00~17:59,12:00~14:59
268801,여,45,서비스/판매직,15:00~17:59,이용하지 않음
268901,남,45,사무직,24:00~5:59,21:00~23:59
269001,여,46,주부,18:00~20:59,15:00~17:59
269002,여,21,학생,18:00~20:59,이용하지 않음
269101,여,47,주부,15:00~17:59,18:00~20:59
269201,여,46,사무직,21:00~23:59,이용하지 않음
269401,여,41,서비스/판매직,15:00~17:59,이용하지 않음
269501,여,56,서비스/판매직,21:00~23:59,15:00~17:59
269701,남,46,생산직,이용하지 않음,18:00~20:59
269702,여,47,주부,15:00~17:59,15:00~17:59
269703,여,18,서비스/판매직,18:00~20:59,18:00~20:59
269802,여,56,주부,21:00~23:59,이용하지 않음
269901,여,33,생산직,15:00~17:59,21:00~23:59
269902,남,13,학생,18:00~20:59,18:00~20:59
270001,남,55,서비스/판매직,21:00~23:59,21:00~23:59
270002,여,54,생산직,12:00~14:59,15:00~17:59
270003,여,30,주부,21:00~23:59,21:00~23:59
270201,여,70,생산직,15:00~17:59,15:00~17:59
270202,남,72,생산직,21:00~23:59,21:00~23:59
270701,남,55,서비스/판매직,21:00~23:59,21:00~23:59
270801,여,61,서비스/판매직,18:00~20:59,18:00~20:59
271001,남,62,서비스/판매직,12:00~14:59,15:00~17:59
271002,여,57,주부,15:00~17:59,12:00~14:59
271101,여,67,무직,12:00~14:59,15:00~17:59
271201,여,77,무직,15:00~17:59,21:00~23:59
271202,남,81,무직,15:00~17:59,21:00~23:59
271301,남,69,무직,15:00~17:59,12:00~14:59
271401,남,40,무직,12:00~14:59,15:00~17:59
271402,남,37,무직,15:00~17:59,18:00~20:59
271501,여,53,주부,15:00~17:59,15:00~17:59
271502,여,31,사무직,21:00~23:59,15:00~17:59
271701,남,68,서비스/판매직,12:00~14:59,15:00~17:59
271702,여,62,주부,15:00~17:59,21:00~23:59
271801,여,52,주부,15:00~17:59,21:00~23:59
271802,남,26,학생,18:00~20:59,15:00~17:59
271901,여,63,주부,15:00~17:59,15:00~17:59
271902,남,67,서비스/판매직,12:00~14:59,15:00~17:59
272002,남,44,생산직,18:00~20:59,15:00~17:59
272101,여,57,생산직,12:00~14:59,21:00~23:59
272201,여,77,무직,12:00~14:59,15:00~17:59
272501,여,33,사무직,21:00~23:59,21:00~23:59
272502,남,35,사무직,21:00~23:59,21:00~23:59
272601,남,61,서비스/판매직,15:00~17:59,12:00~14:59
272701,남,39,사무직,15:00~17:59,15:00~17:59
272702,여,35,사무직,6:00~8:59,15:00~17:59
272801,남,61,생산직,15:00~17:59,15:00~17:59
272901,여,41,사무직,6:00~8:59,21:00~23:59
274501,여,45,주부,15:00~17:59,9:00~11:59
274502,여,19,사무직,21:00~23:59,21:00~23:59
274601,남,58,생산직,18:00~20:59,이용하지 않음
274602,남,19,학생,18:00~20:59,9:00~11:59
274701,여,72,주부,9:00~11:59,12:00~14:59
274802,여,31,생산직,6:00~8:59,이용하지 않음
274901,여,51,사무직,12:00~14:59,15:00~17:59
274902,남,18,학생,21:00~23:59,15:00~17:59
275102,남,22,생산직,12:00~14:59,21:00~23:59
275201,남,37,서비스/판매직,21:00~23:59,21:00~23:59
275202,여,29,사무직,21:00~23:59,21:00~23:59
275401,남,51,생산직,12:00~14:59,이용하지 않음
275601,남,35,무직,21:00~23:59,21:00~23:59
275701,여,44,주부,21:00~23:59,21:00~23:59
275802,남,27,무직,21:00~23:59,9:00~11:59
275902,남,28,서비스/판매직,15:00~17:59,15:00~17:59
276001,여,47,사무직,21:00~23:59,18:00~20:59
276102,여,25,무직,12:00~14:59,15:00~17:59
276201,남,37,사무직,12:00~14:59,21:00~23:59
276301,남,38,사무직,12:00~14:59,21:00~23:59
276302,여,37,사무직,12:00~14:59,21:00~23:59
276403,남,17,학생,15:00~17:59,15:00~17:59
276501,여,37,주부,12:00~14:59,21:00~23:59
276502,남,36,사무직,9:00~11:59,9:00~11:59
276602,여,22,기타,18:00~20:59,18:00~20:59
276603,남,18,학생,18:00~20:59,15:00~17:59
276703,남,25,무직,21:00~23:59,21:00~23:59
276801,여,55,서비스/판매직,15:00~17:59,15:00~17:59
276802,남,60,서비스/판매직,15:00~17:59,15:00~17:59
276901,여,44,서비스/판매직,15:00~17:59,15:00~17:59
276902,남,43,서비스/판매직,15:00~17:59,15:00~17:59
276903,여,18,학생,24:00~5:59,24:00~5:59
277001,남,25,서비스/판매직,21:00~23:59,21:00~23:59
277002,여,25,무직,21:00~23:59,21:00~23:59
277401,여,46,주부,24:00~5:59,24:00~5:59
277502,남,44,사무직,이용하지 않음,15:00~17:59
277601,남,30,생산직,21:00~23:59,21:00~23:59
277602,여,30,주부,21:00~23:59,21:00~23:59
277701,여,41,주부,21:00~23:59,21:00~23:59
277702,남,41,서비스/판매직,21:00~23:59,21:00~23:59
277801,여,18,학생,24:00~5:59,21:00~23:59
277802,여,45,주부,21:00~23:59,18:00~20:59
277901,남,53,사무직,12:00~14:59,12:00~14:59
277902,남,51,서비스/판매직,12:00~14:59,12:00~14:59
278101,여,52,서비스/판매직,21:00~23:59,21:00~23:59
278201,여,50,서비스/판매직,18:00~20:59,21:00~23:59
278301,남,52,사무직,21:00~23:59,21:00~23:59
278401,여,40,주부,15:00~17:59,12:00~14:59
278402,남,43,사무직,21:00~23:59,이용하지 않음
278403,남,14,학생,15:00~17:59,15:00~17:59
278501,남,48,사무직,15:00~17:59,15:00~17:59
278502,여,48,사무직,21:00~23:59,21:00~23:59
278601,남,52,생산직,21:00~23:59,12:00~14:59
278602,여,47,주부,15:00~17:59,15:00~17:59
278801,여,68,주부,15:00~17:59,15:00~17:59
278901,여,45,서비스/판매직,21:00~23:59,이용하지 않음
279001,여,42,서비스/판매직,21:00~23:59,21:00~23:59
279101,여,51,서비스/판매직,15:00~17:59,15:00~17:59
279201,남,53,생산직,21:00~23:59,15:00~17:59
279202,여,46,생산직,12:00~14:59,21:00~23:59
279301,여,45,서비스/판매직,21:00~23:59,21:00~23:59
279302,여,18,학생,21:00~23:59,21:00~23:59
279401,여,51,주부,12:00~14:59,15:00~17:59
279402,남,51,생산직,21:00~23:59,12:00~14:59
279501,남,35,생산직,15:00~17:59,12:00~14:59
279502,여,30,서비스/판매직,12:00~14:59,12:00~14:59
279701,남,63,무직,21:00~23:59,21:00~23:59
279801,남,44,무직,21:00~23:59,21:00~23:59
279901,남,55,서비스/판매직,21:00~23:59,21:00~23:59
280301,여,66,주부,12:00~14:59,12:00~14:59
280402,남,61,생산직,21:00~23:59,12:00~14:59
280403,여,23,무직,21:00~23:59,24:00~5:59
280501,여,61,주부,21:00~23:59,21:00~23:59
280602,여,64,주부,21:00~23:59,21:00~23:59
280801,여,39,사무직,21:00~23:59,15:00~17:59
280802,남,39,사무직,21:00~23:59,21:00~23:59
280901,여,59,주부,21:00~23:59,21:00~23:59
280902,남,24,사무직,21:00~23:59,18:00~20:59
281001,남,38,사무직,24:00~5:59,15:00~17:59
281101,여,60,서비스/판매직,18:00~20:59,18:00~20:59
281701,여,64,생산직,21:00~23:59,18:00~20:59
282001,남,48,생산직,21:00~23:59,12:00~14:59
282101,여,40,주부,15:00~17:59,15:00~17:59
282201,여,50,주부,15:00~17:59,15:00~17:59
282301,남,34,사무직,18:00~20:59,15:00~17:59
282501,남,51,서비스/판매직,12:00~14:59,15:00~17:59
282502,여,55,서비스/판매직,15:00~17:59,15:00~17:59
282601,남,68,생산직,18:00~20:59,이용하지 않음
282801,남,53,서비스/판매직,21:00~23:59,21:00~23:59
282901,여,63,주부,12:00~14:59,15:00~17:59
283101,여,65,주부,15:00~17:59,15:00~17:59
283201,남,36,사무직,12:00~14:59,이용하지 않음
283202,여,32,사무직,18:00~20:59,이용하지 않음
283501,남,41,무직,18:00~20:59,9:00~11:59
283601,여,21,학생,21:00~23:59,21:00~23:59
284001,여,56,주부,9:00~11:59,9:00~11:59
284201,여,34,생산직,15:00~17:59,15:00~17:59
284202,남,37,사무직,21:00~23:59,9:00~11:59
284301,남,38,생산직,18:00~20:59,18:00~20:59
284401,남,53,사무직,이용하지 않음,15:00~17:59
284402,여,49,사무직,12:00~14:59,이용하지 않음
284403,여,24,무직,21:00~23:59,15:00~17:59
284501,남,48,사무직,18:00~20:59,18:00~20:59
284502,여,16,학생,21:00~23:59,21:00~23:59
284901,남,33,무직,21:00~23:59,21:00~23:59
285001,남,18,학생,21:00~23:59,21:00~23:59
285101,여,40,주부,21:00~23:59,이용하지 않음
285201,여,50,주부,12:00~14:59,12:00~14:59
285301,여,50,서비스/판매직,이용하지 않음,12:00~14:59
285401,여,44,주부,15:00~17:59,15:00~17:59
285601,남,44,생산직,12:00~14:59,이용하지 않음
285801,남,69,무직,21:00~23:59,21:00~23:59
286001,남,57,생산직,21:00~23:59,21:00~23:59
286101,남,55,생산직,이용하지 않음,21:00~23:59
286102,여,22,학생,12:00~14:59,15:00~17:59
286103,여,51,서비스/판매직,이용하지 않음,21:00~23:59
286201,여,53,사무직,21:00~23:59,21:00~23:59
286301,여,52,사무직,이용하지 않음,12:00~14:59
286401,여,55,서비스/판매직,12:00~14:59,21:00~23:59
286501,남,63,생산직,21:00~23:59,이용하지 않음
286601,여,53,서비스/판매직,15:00~17:59,이용하지 않음
286701,여,29,서비스/판매직,21:00~23:59,21:00~23:59
286801,남,21,학생,18:00~20:59,21:00~23:59
286901,여,34,주부,9:00~11:59,이용하지 않음
287001,남,53,생산직,18:00~20:59,18:00~20:59
287101,남,56,생산직,12:00~14:59,12:00~14:59
287401,여,39,주부,15:00~17:59,15:00~17:59
287402,남,14,학생,21:00~23:59,18:00~20:59
287403,남,12,학생,18:00~20:59,18:00~20:59
287601,여,42,서비스/판매직,21:00~23:59,21:00~23:59
287701,여,22,서비스/판매직,21:00~23:59,15:00~17:59
287801,여,42,서비스/판매직,18:00~20:59,12:00~14:59
287901,남,20,학생,21:00~23:59,21:00~23:59
288002,여,22,무직,15:00~17:59,15:00~17:59
288201,여,42,주부,15:00~17:59,15:00~17:59
288202,남,13,학생,18:00~20:59,18:00~20:59
288301,남,24,학생,21:00~23:59,18:00~20:59
288401,남,57,사무직,이용하지 않음,21:00~23:59
288501,여,34,서비스/판매직,21:00~23:59,18:00~20:59
288601,남,46,서비스/판매직,12:00~14:59,12:00~14:59
288701,여,40,서비스/판매직,21:00~23:59,15:00~17:59
288702,여,13,학생,18:00~20:59,15:00~17:59
288801,남,25,서비스/판매직,18:00~20:59,21:00~23:59
288802,남,24,학생,21:00~23:59,18:00~20:59
288901,남,62,무직,9:00~11:59,9:00~11:59
288902,여,55,주부,18:00~20:59,18:00~20:59
289201,여,27,사무직,21:00~23:59,18:00~20:59
289202,남,30,사무직,21:00~23:59,18:00~20:59
289401,여,58,주부,15:00~17:59,15:00~17:59
289501,여,40,주부,21:00~23:59,21:00~23:59
289502,남,13,학생,18:00~20:59,15:00~17:59
289503,남,42,사무직,21:00~23:59,21:00~23:59
289601,여,22,학생,12:00~14:59,15:00~17:59
289603,여,60,주부,15:00~17:59,12:00~14:59
289801,남,27,서비스/판매직,9:00~11:59,12:00~14:59
290001,남,58,서비스/판매직,15:00~17:59,15:00~17:59
290003,여,21,학생,21:00~23:59,21:00~23:59
290201,남,59,무직,21:00~23:59,21:00~23:59
290202,남,28,사무직,21:00~23:59,21:00~23:59
290203,여,61,사무직,6:00~8:59,15:00~17:59
290301,남,38,사무직,21:00~23:59,15:00~17:59
290401,남,37,서비스/판매직,21:00~23:59,21:00~23:59
290501,남,47,생산직,21:00~23:59,21:00~23:59
290601,남,42,사무직,21:00~23:59,이용하지 않음
290701,여,40,서비스/판매직,12:00~14:59,이용하지 않음
290902,남,48,무직,15:00~17:59,18:00~20:59
291101,남,54,생산직,15:00~17:59,15:00~17:59
291102,남,18,학생,24:00~5:59,24:00~5:59
291301,남,45,서비스/판매직,18:00~20:59,18:00~20:59
291401,남,43,서비스/판매직,21:00~23:59,21:00~23:59
291901,여,35,주부,15:00~17:59,이용하지 않음
292001,남,35,사무직,18:00~20:59,18:00~20:59
292101,남,38,생산직,21:00~23:59,21:00~23:59
292201,남,37,생산직,21:00~23:59,12:00~14:59
292501,여,42,주부,21:00~23:59,21:00~23:59
292502,남,18,학생,15:00~17:59,12:00~14:59
292503,남,17,학생,12:00~14:59,9:00~11:59
292601,여,45,생산직,21:00~23:59,15:00~17:59
292701,남,62,서비스/판매직,12:00~14:59,12:00~14:59
292702,여,59,서비스/판매직,18:00~20:59,이용하지 않음
292802,여,87,주부,12:00~14:59,12:00~14:59
292901,남,34,사무직,21:00~23:59,18:00~20:59
292902,여,34,주부,21:00~23:59,21:00~23:59
293001,여,47,주부,12:00~14:59,이용하지 않음
293002,남,47,사무직,18:00~20:59,이용하지 않음
293101,여,41,주부,21:00~23:59,18:00~20:59
293102,남,42,사무직,18:00~20:59,18:00~20:59
293201,남,53,사무직,이용하지 않음,12:00~14:59
293202,여,49,사무직,9:00~11:59,15:00~17:59
293203,여,21,무직,21:00~23:59,21:00~23:59
293302,남,38,서비스/판매직,18:00~20:59,이용하지 않음
293401,남,48,생산직,21:00~23:59,이용하지 않음
293402,여,41,주부,이용하지 않음,18:00~20:59
293801,남,31,사무직,21:00~23:59,21:00~23:59
294101,여,33,사무직,이용하지 않음,21:00~23:59
295601,여,29,주부,18:00~20:59,18:00~20:59
295901,여,33,사무직,18:00~20:59,18:00~20:59
296001,여,14,학생,18:00~20:59,18:00~20:59
297101,남,47,사무직,21:00~23:59,21:00~23:59
297401,여,38,사무직,18:00~20:59,18:00~20:59
298202,남,58,서비스/판매직,15:00~17:59,12:00~14:59
298203,남,24,사무직,18:00~20:59,18:00~20:59
298402,여,48,서비스/판매직,6:00~8:59,6:00~8:59
298501,남,61,서비스/판매직,15:00~17:59,15:00~17:59
298601,여,40,무직,15:00~17:59,15:00~17:59
298801,여,63,무직,15:00~17:59,15:00~17:59
299001,여,39,주부,15:00~17:59,15:00~17:59
299002,남,38,사무직,15:00~17:59,15:00~17:59
299101,남,48,무직,15:00~17:59,15:00~17:59
299201,여,34,주부,15:00~17:59,15:00~17:59
299202,남,36,생산직,12:00~14:59,12:00~14:59
299301,남,74,무직,15:00~17:59,15:00~17:59
299401,남,51,생산직,21:00~23:59,21:00~23:59
299501,여,34,주부,15:00~17:59,15:00~17:59
299502,남,38,서비스/판매직,21:00~23:59,15:00~17:59
299701,남,34,사무직,21:00~23:59,21:00~23:59
299801,여,66,무직,15:00~17:59,15:00~17:59
300001,여,47,주부,15:00~17:59,15:00~17:59
300002,남,51,생산직,15:00~17:59,15:00~17:59
300003,남,21,무직,15:00~17:59,15:00~17:59
300102,여,16,학생,21:00~23:59,18:00~20:59
300103,여,14,학생,18:00~20:59,18:00~20:59
300301,여,59,사무직,18:00~20:59,이용하지 않음
300401,남,55,서비스/판매직,21:00~23:59,21:00~23:59
300501,여,53,사무직,6:00~8:59,6:00~8:59
300601,여,56,사무직,18:00~20:59,이용하지 않음
300602,남,58,서비스/판매직,이용하지 않음,21:00~23:59
300801,남,57,서비스/판매직,21:00~23:59,이용하지 않음
301101,남,63,무직,18:00~20:59,15:00~17:59
301201,남,67,무직,21:00~23:59,21:00~23:59
301202,여,60,주부,18:00~20:59,18:00~20:59
301301,남,48,생산직,18:00~20:59,18:00~20:59
301302,여,18,학생,21:00~23:59,21:00~23:59
301601,남,78,생산직,21:00~23:59,18:00~20:59
301701,여,48,주부,12:00~14:59,12:00~14:59
301702,남,17,학생,21:00~23:59,21:00~23:59
301901,여,43,서비스/판매직,21:00~23:59,21:00~23:59
302201,남,86,생산직,12:00~14:59,이용하지 않음
302202,여,75,주부,9:00~11:59,18:00~20:59
302301,남,69,사무직,12:00~14:59,18:00~20:59
302401,남,41,사무직,이용하지 않음,21:00~23:59
302501,남,79,무직,9:00~11:59,이용하지 않음
302601,여,57,생산직,21:00~23:59,9:00~11:59
302701,여,52,사무직,21:00~23:59,이용하지 않음
302702,남,25,사무직,6:00~8:59,21:00~23:59
302801,여,42,주부,9:00~11:59,12:00~14:59
302802,여,20,서비스/판매직,21:00~23:59,12:00~14:59
302901,남,54,생산직,12:00~14:59,이용하지 않음
302902,남,24,무직,21:00~23:59,21:00~23:59
303001,여,41,주부,15:00~17:59,18:00~20:59
303101,여,54,생산직,18:00~20:59,18:00~20:59
303402,남,51,생산직,21:00~23:59,9:00~11:59
303701,남,46,생산직,21:00~23:59,이용하지 않음
303801,여,41,주부,18:00~20:59,18:00~20:59
303901,남,32,사무직,18:00~20:59,21:00~23:59
304001,여,48,주부,12:00~14:59,15:00~17:59
304302,여,23,무직,18:00~20:59,18:00~20:59
304401,여,29,주부,12:00~14:59,12:00~14:59
304402,남,27,사무직,21:00~23:59,9:00~11:59
304601,남,46,서비스/판매직,15:00~17:59,15:00~17:59
305001,여,56,서비스/판매직,15:00~17:59,18:00~20:59
305401,여,57,주부,12:00~14:59,12:00~14:59
305701,여,40,주부,12:00~14:59,15:00~17:59
305801,여,54,생산직,21:00~23:59,21:00~23:59
306001,여,73,무직,18:00~20:59,15:00~17:59
306201,여,57,주부,15:00~17:59,18:00~20:59
306701,여,72,주부,15:00~17:59,이용하지 않음
306801,여,71,무직,15:00~17:59,15:00~17:59
307001,남,68,무직,18:00~20:59,18:00~20:59
307101,남,41,사무직,15:00~17:59,15:00~17:59
307102,여,38,사무직,18:00~20:59,18:00~20:59
307201,남,40,기타,18:00~20:59,18:00~20:59
307301,남,57,서비스/판매직,21:00~23:59,21:00~23:59
307401,여,58,서비스/판매직,18:00~20:59,18:00~20:59
307403,여,36,서비스/판매직,이용하지 않음,21:00~23:59
307701,남,46,서비스/판매직,18:00~20:59,15:00~17:59
307702,여,42,서비스/판매직,15:00~17:59,이용하지 않음
307801,여,28,서비스/판매직,21:00~23:59,21:00~23:59
307901,여,39,서비스/판매직,15:00~17:59,15:00~17:59
307902,남,39,서비스/판매직,이용하지 않음,21:00~23:59
308001,남,46,서비스/판매직,21:00~23:59,12:00~14:59
308002,여,41,사무직,21:00~23:59,21:00~23:59
308201,남,41,서비스/판매직,21:00~23:59,21:00~23:59
308301,남,68,서비스/판매직,이용하지 않음,21:00~23:59
308302,여,59,주부,21:00~23:59,21:00~23:59
308502,남,58,서비스/판매직,21:00~23:59,이용하지 않음
308901,남,66,서비스/판매직,18:00~20:59,21:00~23:59
309001,여,55,주부,21:00~23:59,21:00~23:59
309002,남,60,사무직,21:00~23:59,21:00~23:59
309201,남,62,사무직,12:00~14:59,12:00~14:59
309202,여,59,주부,15:00~17:59,15:00~17:59
309301,남,51,서비스/판매직,9:00~11:59,9:00~11:59
309302,여,48,서비스/판매직,15:00~17:59,15:00~17:59
309401,여,59,서비스/판매직,15:00~17:59,15:00~17:59
309402,남,59,서비스/판매직,12:00~14:59,15:00~17:59
309501,남,59,서비스/판매직,15:00~17:59,15:00~17:59
309502,여,56,서비스/판매직,15:00~17:59,15:00~17:59
309503,여,33,사무직,12:00~14:59,15:00~17:59
309601,남,60,사무직,21:00~23:59,21:00~23:59
309602,여,58,서비스/판매직,9:00~11:59,9:00~11:59
309701,남,53,사무직,12:00~14:59,21:00~23:59
309702,남,28,사무직,24:00~5:59,24:00~5:59
309801,남,42,사무직,12:00~14:59,15:00~17:59
309802,여,42,서비스/판매직,12:00~14:59,12:00~14:59
309901,남,36,사무직,21:00~23:59,21:00~23:59
310001,여,60,서비스/판매직,12:00~14:59,15:00~17:59
310101,여,50,서비스/판매직,15:00~17:59,15:00~17:59
310301,여,32,주부,21:00~23:59,21:00~23:59
310401,여,38,주부,18:00~20:59,18:00~20:59
310601,남,38,서비스/판매직,15:00~17:59,15:00~17:59
310701,여,47,서비스/판매직,21:00~23:59,18:00~20:59
310801,남,53,서비스/판매직,18:00~20:59,이용하지 않음
311102,남,37,무직,18:00~20:59,21:00~23:59
311201,남,63,기타,21:00~23:59,21:00~23:59
311202,여,59,주부,12:00~14:59,이용하지 않음
311301,남,44,무직,21:00~23:59,21:00~23:59
311401,여,41,주부,21:00~23:59,21:00~23:59
311402,남,46,생산직,12:00~14:59,이용하지 않음
311501,여,48,생산직,6:00~8:59,15:00~17:59
311502,여,22,학생,21:00~23:59,24:00~5:59
311601,여,49,주부,21:00~23:59,이용하지 않음
311602,여,19,서비스/판매직,18:00~20:59,21:00~23:59
311701,남,65,무직,15:00~17:59,15:00~17:59
311901,여,72,주부,15:00~17:59,21:00~23:59
312101,남,51,서비스/판매직,18:00~20:59,18:00~20:59
312301,여,42,주부,18:00~20:59,이용하지 않음
312401,남,61,생산직,12:00~14:59,15:00~17:59
312501,남,21,무직,21:00~23:59,21:00~23:59
312601,여,39,사무직,18:00~20:59,이용하지 않음
312701,남,57,서비스/판매직,12:00~14:59,이용하지 않음
312801,남,58,생산직,21:00~23:59,18:00~20:59
312901,남,65,생산직,18:00~20:59,이용하지 않음
313101,여,61,주부,21:00~23:59,21:00~23:59
313301,남,18,사무직,이용하지 않음,21:00~23:59
313401,여,51,생산직,15:00~17:59,15:00~17:59
313501,여,36,주부,15:00~17:59,15:00~17:59
313601,여,40,주부,9:00~11:59,15:00~17:59
313701,여,51,서비스/판매직,12:00~14:59,이용하지 않음
313802,여,54,생산직,21:00~23:59,21:00~23:59
313901,남,45,생산직,15:00~17:59,이용하지 않음
313902,남,23,생산직,15:00~17:59,15:00~17:59
314002,남,45,생산직,21:00~23:59,이용하지 않음
314101,여,65,주부,12:00~14:59,15:00~17:59
314102,남,69,서비스/판매직,12:00~14:59,15:00~17:59
314202,남,55,생산직,12:00~14:59,12:00~14:59
314301,남,57,생산직,12:00~14:59,15:00~17:59
314302,여,56,서비스/판매직,18:00~20:59,15:00~17:59
314601,남,56,생산직,21:00~23:59,21:00~23:59
314701,여,21,학생,21:00~23:59,12:00~14:59
314702,여,55,사무직,12:00~14:59,21:00~23:59
315001,여,74,주부,15:00~17:59,15:00~17:59
315101,남,79,무직,15:00~17:59,15:00~17:59
315301,여,62,서비스/판매직,21:00~23:59,21:00~23:59
315401,여,38,사무직,21:00~23:59,21:00~23:59
316303,남,25,학생,21:00~23:59,21:00~23:59
317202,여,20,학생,21:00~23:59,21:00~23:59
317703,여,46,서비스/판매직,21:00~23:59,21:00~23:59
317704,여,13,학생,21:00~23:59,21:00~23:59
318201,여,52,주부,15:00~17:59,15:00~17:59
318501,여,39,주부,18:00~20:59,18:00~20:59
318601,남,36,사무직,21:00~23:59,21:00~23:59
319003,남,16,학생,21:00~23:59,12:00~14:59
319401,여,37,주부,21:00~23:59,이용하지 않음
319402,남,41,사무직,21:00~23:59,18:00~20:59
319501,여,61,서비스/판매직,15:00~17:59,15:00~17:59
319502,여,25,사무직,21:00~23:59,24:00~5:59
319503,남,64,서비스/판매직,12:00~14:59,12:00~14:59
319601,여,44,주부,15:00~17:59,15:00~17:59
319602,남,44,사무직,18:00~20:59,이용하지 않음
319603,여,16,학생,15:00~17:59,15:00~17:59
319801,여,53,서비스/판매직,18:00~20:59,이용하지 않음
319802,남,57,서비스/판매직,21:00~23:59,이용하지 않음
319901,남,37,사무직,18:00~20:59,15:00~17:59
