PID,성별,연령,직업,ott 주중 이용시간대,ott 주말 이용시간대
195002,여,25,학생,21:00~23:59,15:00~17:59
195003,여,21,학생,21:00~23:59,9:00~11:59
195201,남,46,사무직,이용하지 않음,12:00~14:59
195401,여,39,서비스/판매직,15:00~17:59,18:00~20:59
195402,남,45,생산직,12:00~14:59,이용하지 않음
195403,여,16,학생,21:00~23:59,9:00~11:59
195601,여,44,주부,15:00~17:59,이용하지 않음
195701,여,46,사무직,12:00~14:59,12:00~14:59
195801,남,79,무직,이용하지 않음,18:00~20:59
196001,여,45,사무직,18:00~20:59,이용하지 않음
196002,여,14,학생,21:00~23:59,24:00~5:59
196101,여,47,주부,9:00~11:59,15:00~17:59
196301,여,31,주부,12:00~14:59,9:00~11:59
196501,여,29,주부,9:00~11:59,9:00~11:59
196502,남,33,사무직,21:00~23:59,21:00~23:59
196601,여,54,주부,9:00~11:59,18:00~20:59
196602,남,31,사무직,21:00~23:59,21:00~23:59
196603,여,27,서비스/판매직,21:00~23:59,21:00~23:59
196701,여,31,주부,9:00~11:59,이용하지 않음
196801,여,33,주부,9:00~11:59,이용하지 않음
196901,여,30,사무직,21:00~23:59,21:00~23:59
197201,여,49,서비스/판매직,24:00~5:59,24:00~5:59
197202,남,53,서비스/판매직,21:00~23:59,21:00~23:59
197301,남,57,무직,15:00~17:59,15:00~17:59
197401,남,34,사무직,12:00~14:59,21:00~23:59
197402,여,33,사무직,21:00~23:59,21:00~23:59
197501,남,80,무직,15:00~17:59,15:00~17:59
197502,여,78,주부,15:00~17:59,15:00~17:59
197601,남,37,사무직,6:00~8:59,24:00~5:59
197602,여,38,사무직,24:00~5:59,24:00~5:59
197701,여,31,주부,21:00~23:59,21:00~23:59
197801,여,34,주부,15:00~17:59,24:00~5:59
197901,여,52,주부,15:00~17:59,15:00~17:59
198001,여,55,사무직,24:00~5:59,24:00~5:59
198101,여,45,주부,12:00~14:59,12:00~14:59
198102,여,19,학생,24:00~5:59,24:00~5:59
198401,남,50,서비스/판매직,24:00~5:59,24:00~5:59
198402,여,43,주부,15:00~17:59,15:00~17:59
198501,여,57,생산직,12:00~14:59,15:00~17:59
198502,남,59,생산직,15:00~17:59,15:00~17:59
198503,남,33,사무직,21:00~23:59,21:00~23:59
198701,여,46,생산직,12:00~14:59,15:00~17:59
198702,남,50,서비스/판매직,21:00~23:59,21:00~23:59
198703,남,18,학생,21:00~23:59,21:00~23:59
198704,여,17,학생,15:00~17:59,15:00~17:59
199301,여,28,주부,24:00~5:59,24:00~5:59
199302,남,30,생산직,24:00~5:59,24:00~5:59
199401,여,55,주부,15:00~17:59,이용하지 않음
199402,남,51,서비스/판매직,15:00~17:59,18:00~20:59
200001,남,52,생산직,12:00~14:59,15:00~17:59
200002,남,25,학생,21:00~23:59,18:00~20:59
200003,여,14,학생,15:00~17:59,15:00~17:59
200101,남,53,사무직,18:00~20:59,이용하지 않음
200201,여,32,주부,21:00~23:59,15:00~17:59
200401,여,41,생산직,24:00~5:59,15:00~17:59
200402,여,13,학생,12:00~14:59,21:00~23:59
200502,남,35,무직,21:00~23:59,21:00~23:59
200801,여,63,생산직,18:00~20:59,18:00~20:59
200902,남,39,사무직,21:00~23:59,21:00~23:59
200903,남,15,학생,15:00~17:59,이용하지 않음
201001,남,38,사무직,21:00~23:59,21:00~23:59
201301,남,48,무직,18:00~20:59,18:00~20:59
201501,여,38,서비스/판매직,15:00~17:59,이용하지 않음
201502,남,39,생산직,18:00~20:59,이용하지 않음
201601,남,53,사무직,12:00~14:59,이용하지 않음
201701,여,54,생산직,이용하지 않음,15:00~17:59
201801,남,51,사무직,18:00~20:59,18:00~20:59
201802,여,65,사무직,15:00~17:59,15:00~17:59
202101,남,58,생산직,15:00~17:59,6:00~8:59
202102,남,32,생산직,18:00~20:59,12:00~14:59
202501,여,34,사무직,이용하지 않음,12:00~14:59
202602,남,30,사무직,21:00~23:59,21:00~23:59
202701,여,62,주부,12:00~14:59,12:00~14:59
202702,여,30,사무직,이용하지 않음,9:00~11:59
202801,여,60,주부,12:00~14:59,이용하지 않음
202802,남,60,생산직,이용하지 않음,15:00~17:59
203601,남,46,생산직,21:00~23:59,12:00~14:59
204401,남,61,생산직,12:00~14:59,12:00~14:59
205202,여,22,생산직,12:00~14:59,15:00~17:59
205401,남,70,무직,15:00~17:59,21:00~23:59
205402,여,73,무직,15:00~17:59,15:00~17:59
205602,여,64,주부,15:00~17:59,이용하지 않음
205701,여,61,주부,15:00~17:59,9:00~11:59
205702,남,62,무직,15:00~17:59,12:00~14:59
205901,여,67,주부,15:00~17:59,15:00~17:59
206001,여,40,주부,15:00~17:59,15:00~17:59
206002,남,38,생산직,9:00~11:59,9:00~11:59
206101,여,66,서비스/판매직,18:00~20:59,15:00~17:59
206401,여,79,주부,9:00~11:59,9:00~11:59
206402,남,81,무직,15:00~17:59,15:00~17:59
207701,남,50,생산직,15:00~17:59,이용하지 않음
207702,여,54,주부,18:00~20:59,이용하지 않음
208601,여,43,서비스/판매직,21:00~23:59,21:00~23:59
208701,남,50,무직,18:00~20:59,18:00~20:59
208702,여,31,서비스/판매직,이용하지 않음,18:00~20:59
208703,남,27,생산직,21:00~23:59,12:00~14:59
208801,남,50,생산직,21:00~23:59,21:00~23:59
208802,여,45,서비스/판매직,18:00~20:59,9:00~11:59
208803,남,13,학생,18:00~20:59,9:00~11:59
208903,여,47,무직,21:00~23:59,21:00~23:59
209201,여,55,서비스/판매직,21:00~23:59,21:00~23:59
209401,남,50,생산직,21:00~23:59,21:00~23:59
209902,남,32,서비스/판매직,21:00~23:59,21:00~23:59
209903,여,60,생산직,15:00~17:59,18:00~20:59
210201,여,56,생산직,21:00~23:59,21:00~23:59
210202,남,63,생산직,18:00~20:59,18:00~20:59
210203,남,23,서비스/판매직,9:00~11:59,6:00~8:59
210502,여,40,주부,24:00~5:59,18:00~20:59
210601,남,70,무직,6:00~8:59,18:00~20:59
210701,여,18,학생,18:00~20:59,18:00~20:59
210801,여,66,주부,15:00~17:59,15:00~17:59
210901,여,59,서비스/판매직,15:00~17:59,15:00~17:59
211001,남,52,서비스/판매직,21:00~23:59,21:00~23:59
211301,남,43,서비스/판매직,12:00~14:59,12:00~14:59
211401,남,27,서비스/판매직,18:00~20:59,15:00~17:59
211501,여,82,서비스/판매직,12:00~14:59,12:00~14:59
