old_index,title,release_date,series_or_movies,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,Title for Crawling,Image,korean_title,english_title,num_of_netizen
10272,Independence Day  Resurgence,2016-06-24,Movie,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,independencedayresurgence,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfKKaYqICZ8lJJOg-vFJWAv638kSBhtLJOWUhWTuGRMcC8bWdRnDB0EAfvVXSeOCsBC8s-3Tc_k6gX8HHozKLqRtGw.jpg?r=f1c,인디펜던스 데이: 리써전스,independencedayresurgence,10801
10275,X-Men  Apocalypse,2016-05-27,Movie,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,xmenapocalypse,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfnHDEWxogja2vtT1XikkFCVqVAs3lx2uX2ZtG0JxVvASyOQDB4pHYif8EVV6O3tauQXd19BHQc5KJTc2vkmA2WyRw.jpg?r=4d0,엑스맨: 아포칼립스,xmenapocalypse,13757
10370,Mr. Go,2013-07-17,Movie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,mrgo,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAAAeyCK1ysWHGxaIlmAg05zdaI3xrEhpiFJyo_thMqP_3wmRMr8Ky4nQy_Q7PPdIJArhlkplriEsoGVHSLrYxURzzy0A.jpg?r=457,미스터 고,mrgo,11088
10371,Hwayi  A Monster Boy,2013-10-09,Movie,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hwayiamonsterboy,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAAARCV0KLSJW-e4sLZ1HP7OOWDNHUPfiJ0S2qJc0QJbYHJPLUxav64nTCrfvHDqPpICcePpeOyjD6u3De0JqbROP5IHA.jpg?r=ead,화이 : 괴물을 삼킨 아이,hwayiamonsterboy,6407
10400,Cold Eyes,2013-07-03,Movie,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,coldeyes,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa1kLkpaeMnkO6YVaMoIHVMQ7pEzfFlTVx5KcENL3sAKwte5ERrAsZ_x9ufxXD3QcAo2uXHmFF9QqN6vGSkcLJAyFA.jpg?r=904,감시자들,coldeyes,13281
10411,Batman v Superman  Dawn of Justice,2016-03-25,Movie,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,batmanvsupermandawnofjustice,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTyYryK6JPuqiCUYuXIeeuYVTAXp60fQF3bih8L5Yl-o7WohmQ9dREoqeXFtY96p39TFXbVsd5QHx14LKcs_JdRMkA.jpg?r=727,배트맨 대 슈퍼맨: 저스티스의 시작,batmanvsupermandawnofjustice,13977
10526,How to Use Guys with Secret Tips,2013-02-14,Movie,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,howtouseguyswithsecrettips,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdwy6fsXn4bEsC78ThYXAD42hCyTzr1cC6ovds7bh9ve4DmWOFd7gEb8GrKW_l6NyVmPUVVuesoot0iFwIsIaEbvDg.jpg?r=c14,남자사용설명서,howtouseguyswithsecrettips,9056
10630,Veteran,2015-08-05,Movie,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,veteran,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWpI3Pr2AAzqEDH9BK6hAhHyOqFH_UzlKAG-iAZQfMvWj5Y0HEgRfwnjW9mourtFOCpQr-kc8A3-Is3islV3Sjaf-w.jpg?r=b7d,베테랑,veteran,40885
10709,Sector 7,2011-08-04,Movie,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sector7,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeEWR8CCeDO2KbzL2ifqSu2rfBtdorB7qRO6CjhIedPNNkIFwNBwGR5t1sEUzquK_B2u9KyCvMyavFnjUWAnyd0HLQ.jpg?r=d3d,7광구,sector7,20193
10793,Heavenly Forest,2007-03-16,Movie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,heavenlyforest,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZNXJx-IroTSOSnGRoirjVzJfthb0M4PDg6kYP9NGjRKsYdZRMlAmfp8UVsXkb6MLls73FJFyKyBXeFRudhNJf7EDw.jpg?r=e00,"다만, 널 사랑하고 있어",heavenlyforest,8017
10815,The Unjust,2010-10-28,Movie,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theunjust,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZVSHTjD5M_x8tAuduKIcE2gneBMfPF6zqSqFZpix966AXjvGZyAo0JKlaZ9M8kyE0VkWO_AoYOXhVfV_QQwH7Op_w.jpg?r=8ed,부당거래,theunjust,6643
10824,Black Swan,2010-12-17,Movie,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blackswan,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZWGNpV-A00_WdmUSeE1crZwNHgZD_JKP34_3kxLYmr0CC9XvIZ03jUGXI6C_Z5dpGc45U98lp9UE5wlpbj_bJD3Ig.jpg?r=904,블랙 스완,blackswan,6298
10832,Memories of Murder,2003-05-02,Movie,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,memoriesofmurder,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXVvuNVY7YMfNhHa-bduOldR2YyZlP6-1bHIJGDOEE4-g2QpGTBJ0NZwY88PDP2L0NEhhsykv3dkCESlC5QznEfPYQ.jpg?r=e0a,살인의 추억,memoriesofmurder,6896
