code,korean_title,num_of_audience,key_review,score_male,score_female,scores_per_age,num_per_genders,num_per_ages,scores_per_age_genders,num_per_ages_genders,scores_per_ages
167675,루키스,1.0,"이 영화는 10대 여성이 좋아하는 연출, 연기가 뛰어난 영화입니다.",1.0,0.0,"[0.0, 0.0, 1.0, 0.0, 0.0]","[100, 24]","[0, 0, 100, 0, 0]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.24, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 100.0, 24.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
151241,머니백,64.0,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,6.69,8.12,"[4.75, 6.96, 7.3, 7.8, 9.0]","[61, 39]","[6, 42, 31, 8, 12]","[2.9, 1.85, 4.25, 2.71, 4.45, 2.85, 4.76, 3.04, 5.49, 3.51]","[3.66, 2.34, 25.62, 16.38, 18.91, 12.09, 4.88, 3.12, 7.32, 4.68]","[0.28, 2.0, 1.47, 0.38, 0.57, 0.42, 2.92, 2.16, 0.56, 0.84, 0.44, 3.07, 2.26, 0.58, 0.88, 0.47, 3.28, 2.42, 0.62, 0.94, 0.54, 3.78, 2.79, 0.72, 1.08]"
154667,덕구,265.0,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,9.12,9.4,"[10.0, 9.23, 9.46, 9.14, 9.08]","[36, 64]","[3, 47, 29, 16, 5]","[3.6, 6.4, 3.32, 5.91, 3.41, 6.05, 3.29, 5.85, 3.27, 5.81]","[1.08, 1.92, 16.92, 30.08, 10.44, 18.56, 5.76, 10.24, 1.8, 3.2]","[0.3, 4.7, 2.9, 1.6, 0.5, 0.28, 4.34, 2.68, 1.48, 0.46, 0.28, 4.45, 2.74, 1.51, 0.47, 0.27, 4.3, 2.65, 1.46, 0.46, 0.27, 4.27, 2.63, 1.45, 0.45]"
164269,토이무비: 미래대모험,8.0,이 영화는 30대 여성이 좋아하는 스토리가 뛰어난 영화입니다.,6.33,8.0,"[0.0, 0.0, 8.0, 6.33, 0.0]","[38, 62]","[0, 0, 62, 38, 0]","[0.0, 0.0, 0.0, 0.0, 3.04, 4.96, 2.41, 3.92, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 23.56, 38.44, 14.44, 23.56, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.96, 3.04, 0.0, 0.0, 0.0, 3.92, 2.41, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
159366,호랑이보다 무서운 겨울손님,61.0,이 영화는 40대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.56,8.18,"[7.5, 7.36, 7.67, 9.12, 8.5]","[26, 74]","[3, 41, 39, 13, 3]","[1.95, 5.55, 1.91, 5.45, 1.99, 5.68, 2.37, 6.75, 2.21, 6.29]","[0.78, 2.22, 10.66, 30.34, 10.14, 28.86, 3.38, 9.62, 0.78, 2.22]","[0.23, 3.08, 2.92, 0.97, 0.23, 0.22, 3.02, 2.87, 0.96, 0.22, 0.23, 3.14, 2.99, 1.0, 0.23, 0.27, 3.74, 3.56, 1.19, 0.27, 0.26, 3.48, 3.31, 1.1, 0.26]"
162874,원더스트럭,32.0,"이 영화는 30대 여성이 좋아하는 영상미, 연출이 뛰어난 영화입니다.",7.78,7.0,"[0.0, 6.08, 8.0, 8.6, 6.33]","[28, 72]","[0, 38, 38, 16, 9]","[0.0, 0.0, 1.7, 4.38, 2.24, 5.76, 2.41, 6.19, 1.77, 4.56]","[0.0, 0.0, 10.64, 27.36, 10.64, 27.36, 4.48, 11.52, 2.52, 6.48]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.31, 2.31, 0.97, 0.55, 0.0, 3.04, 3.04, 1.28, 0.72, 0.0, 3.27, 3.27, 1.38, 0.77, 0.0, 2.41, 2.41, 1.01, 0.57]"
158180,그것만이 내 세상,5432.0,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,9.2,9.15,"[9.22, 9.15, 9.15, 9.2, 9.25]","[45, 55]","[3, 47, 25, 19, 7]","[4.15, 5.07, 4.12, 5.03, 4.12, 5.03, 4.14, 5.06, 4.16, 5.09]","[1.35, 1.65, 21.15, 25.85, 11.25, 13.75, 8.55, 10.45, 3.15, 3.85]","[0.28, 4.33, 2.31, 1.75, 0.65, 0.27, 4.3, 2.29, 1.74, 0.64, 0.27, 4.3, 2.29, 1.74, 0.64, 0.28, 4.32, 2.3, 1.75, 0.64, 0.28, 4.35, 2.31, 1.76, 0.65]"
167638,완벽한 타인,9479.0,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,9.21,8.98,"[9.32, 9.21, 9.01, 8.81, 8.74]","[42, 58]","[4, 52, 24, 14, 6]","[3.91, 5.41, 3.87, 5.34, 3.78, 5.23, 3.7, 5.11, 3.67, 5.07]","[1.68, 2.32, 21.84, 30.16, 10.08, 13.92, 5.88, 8.12, 2.52, 3.48]","[0.37, 4.85, 2.24, 1.3, 0.56, 0.37, 4.79, 2.21, 1.29, 0.55, 0.36, 4.69, 2.16, 1.26, 0.54, 0.35, 4.58, 2.11, 1.23, 0.53, 0.35, 4.54, 2.1, 1.22, 0.52]"
180209,기방도령,159.0,이 영화는 30대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.47,7.46,"[10.0, 7.12, 7.69, 6.24, 6.81]","[37, 63]","[1, 33, 32, 24, 10]","[3.7, 6.3, 2.63, 4.49, 2.85, 4.84, 2.31, 3.93, 2.52, 4.29]","[0.37, 0.63, 12.21, 20.79, 11.84, 20.16, 8.88, 15.12, 3.7, 6.3]","[0.1, 3.3, 3.2, 2.4, 1.0, 0.07, 2.35, 2.28, 1.71, 0.71, 0.08, 2.54, 2.46, 1.85, 0.77, 0.06, 2.06, 2.0, 1.5, 0.62, 0.07, 2.25, 2.18, 1.63, 0.68]"
161834,해피뻐스데이,2.0,이 영화는 30대 남성이 좋아하는 연기가 뛰어난 영화입니다.,9.0,10.0,"[0.0, 10.0, 9.0, 0.0, 0.0]","[50, 50]","[0, 50, 50, 0, 0]","[0.0, 0.0, 5.0, 5.0, 4.5, 4.5, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 25.0, 25.0, 25.0, 25.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 5.0, 0.0, 0.0, 0.0, 4.5, 4.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
172454,곤지암,2457.0,이 영화는 20대 남성이 좋아하는 연출이 뛰어난 영화입니다.,7.62,7.37,"[7.78, 7.71, 7.26, 6.71, 7.25]","[54, 46]","[5, 61, 22, 9, 3]","[4.2, 3.58, 4.16, 3.55, 3.92, 3.34, 3.62, 3.09, 3.92, 3.33]","[2.7, 2.3, 32.94, 28.06, 11.88, 10.12, 4.86, 4.14, 1.62, 1.38]","[0.39, 4.75, 1.71, 0.7, 0.23, 0.39, 4.7, 1.7, 0.69, 0.23, 0.36, 4.43, 1.6, 0.65, 0.22, 0.34, 4.09, 1.48, 0.6, 0.2, 0.36, 4.42, 1.59, 0.65, 0.22]"
158112,골든슬럼버,926.0,이 영화는 30대 여성이 좋아하는 연기가 뛰어난 영화입니다.,6.05,6.42,"[5.98, 6.01, 6.55, 6.46, 7.1]","[43, 57]","[6, 52, 21, 16, 6]","[2.57, 3.41, 2.58, 3.43, 2.82, 3.73, 2.78, 3.68, 3.05, 4.05]","[2.58, 3.42, 22.36, 29.64, 9.03, 11.97, 6.88, 9.12, 2.58, 3.42]","[0.36, 3.11, 1.26, 0.96, 0.36, 0.36, 3.13, 1.26, 0.96, 0.36, 0.39, 3.41, 1.38, 1.05, 0.39, 0.39, 3.36, 1.36, 1.03, 0.39, 0.43, 3.69, 1.49, 1.14, 0.43]"
