,Title,Release Date,Series or Movies,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,Title for Crawling,Image
64,Rebel in the Rye,2017-09-15,Movie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,rebelintherye,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe48UhyPjB5FjXrIFiYICWZDtrhqH-UjZxKYWWfhHFx7TyH3pRtg_efawMKB7ebKaf549Py0YnvsBSRiGL1r4ih3lQ.jpg?r=f34
65,The Return,2003-06-25,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thereturn,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYTOWW7_vqdwauizZ3fSGjhHf0GUrOYaSzaYh4PMUkNc7HEIlDTHuNTsTWP_-En-Po5K7rEreyXAoE-H9An-cS0M0g.jpg?r=999
66,The Rookies,1972-03-07,Movie,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,therookies,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABU_oI9R46dS1QYhFKTjV26lbbOIu9o1QEUxNq9stzftU5AUdFAys_j_I-hK22oLJr9VZNl_w34TPRkuEOI8By0TEuA.jpg?r=30c
67,Snatch Up,2018-04-12,Movie,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,snatchup,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfN2FlQjtdAR3SiTNSLW3bwhP2kLw1Wjz0Obe05rP_2oP7_DVYkozbPCUXbpGToCp5L4jYt6iTGXo5gQaBglwnHlJQ.jpg?r=214
68,Stray,2019-04-01,Movie,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stray,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABehVpD_7TlcgHfaWkg4SrzjPtC5tBOvFQeKeVYnvjsnkIsVjnjpvpjBSf_J4aI0ixNkL4IPXdRRcTHk3cujOS7EDDQ.jpg?r=d80
69,Stand by Me,1986-08-22,Movie,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,standbyme,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVNAU9zADP6kFOJMxgxFyflhRLUuPsyYlmOr4DfuPddc2iwwkE1kDGj67yw-SA29fsZgLe5vyTqe2pmp0vRMu45ITw.jpg?r=d05
70,Tea Pets,2020-01-14,Movie,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,teapets,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTW65EUMlRg36quUPotApSO5BGFs8irj3vRyzMQj8ykD2gCCGJM9b2nomRHIH2UiZfdqipXW0impruVtr8gHQ6Nwmg.jpg?r=4cd
71,A Tiger In Winter,2018-04-12,Movie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atigerinwinter,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABT_aChnfIJ_WvKaM3tBMD9KTwJw411P87KxpyxmIgPME7laYWLdUPP8kJtiXaD5EXd1Sdsr-nqtK3vuPIG85Sb0vJA.jpg?r=ef9
72,The Three Little Pigs,,Movie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thethreelittlepigs,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfcx698zTsp59d-SIGgWnYJv0VIIxgi5o5ao9NYG3hVxQp2Fd8xNngklXo156hHH7cc1RKmSsoteAoOEUZxWbTI_gQ.jpg?r=41f
73,Wonderstruck,2017-10-20,Movie,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,wonderstruck,https://occ-0-1361-988.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABV4MmEq2UTyr5PJfXQXdOjNcjrkV_quj1BqmezagQSH6_dQ19jLgKH951NH2ONi1y74ZgoYX50XQ2K3kL-hUAyRDpw.jpg?r=dcd
