,old_index,title,release_date,series_or_movies,genre_list,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,img_link,imdb_votes
886,3678,Freud,2020-03-23,Series,"['전기', '범죄', '역사', '스릴러']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRzjcXP3vHsXGaSKVLRrjjnDXQkdfPLNn778IOnKgGK-3z0SUvYpe7fixXxr7cO-Rjcufn9h3xhM2lkDm9vhfhtqWtba_XdKHS-5VtlRzszBtf0Z4W2EHa2SPzo.jpg?r=abf,9664.0
1182,4584,The Devil Next Door,2019-11-04,Series,"['다큐멘터리', '범죄']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABX-_0vIrfQto1TI0AucyOYa_4Nf8Z-E2tmqAQf8Skn8EyqBVuKsQaHnylGUtHtyYmTgIPrpWcLAs8Am0HpMqAmrCmDw4jDlL5zmpnNpO9cp7M9MLBQ5eJPINf_A.jpg?r=da2,9813.0
2831,8908,The Frankenstein Chronicles,2018-02-20,Series,"['범죄', '드라마', '판타지', '역사', '미스터리']",1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABY2fDapRhHaYEZVWs6KJ8Yx5HCWIg-4Uq0MAnHoeHRIHJq7FEu6NZ3bXEQ3_C13JE_aJNFOyq4cbb0xrBtEVA5_mAWm5PlWMncSNuk5bwb3WNBvAeLXCogxeqQU.jpg?r=c66,9977.0
1047,4112,Spinning Out,2020-01-01,Series,"['드라마', '스포츠']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVmt8unEYdSh4d1Kg_XUgfBqJz2MywZoIsldbh8hgNkpFVHIxDGpynFEbLX_OzedsS9m1O1kcQ_yI-tj7RtqE7bs9DY9a83lfp1ctYJcUCQdvQGP1ZnxButSTis.jpg?r=5b1,10350.0
4791,15326,Blue Exorcist,2014-02-23,Series,"['애니메이션', '액션', '드라마', '가족', '판타지', '공포']",1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcFIoEWTizuKj_67obSZsiRUHXXw6-sd-wU3DXKTY6JaMHez82onDFyvg5sHKlleFFvdmwh8TzzEkAAyF-bEfU68QA.jpg?r=25e,11020.0
1181,4580,Voice,2019-06-30,Series,"['전기', '드라마']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfrGX-DDslsw4S1_WpsbgYTV_iYUMTm2XcMYQJKbdHjZLqQ0mL9gwJQPSrEbteYsnL02GouckUv4qe7YuZvLC__2Ow.jpg?r=02f,11029.0
2892,9047,Comedians in Cars Getting Coffee,2012-07-19,Series,"['코미디', '토크쇼']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWjeAlM5RnrBQeUMqdatAQ0QBtrXiWEwzARMvOx3jEXwMeLV8Vs9kFxuCa9PmfizAEV4pbcmAdXljuW8mhPsV_yU5NcAJN6vmK47TuZJOA8cbbaLNDdTquoV034.jpg?r=280,11079.0
3803,11312,Aquarius,2015-05-28,Series,"['전기', '범죄', '드라마', '스릴러']",1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdpPhzgHhLOsChIE7G0d8eu2sInRxvq4zDZfsjonnKeJhxh9r48uA9OY0l9PH9dCHXhA-8nP-oG6CJuUCinQIxAQwg.jpg?r=9ce,11158.0
893,3691,The English Game,2020-03-20,Series,"['드라마', '역사', '스포츠']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaUVoB-KdqGKSaimSjai9NkCHqtjviiObo_jyADxzWfoaUlcf4LC6bDHysybF1bJHg1v7P0_80sS5B1IHHcMaiUrVbkg1xpXmGuE6wpjnFw_jKPr_zW8iTgU6KA.jpg?r=375,11626.0
2768,8783,The Defiant Ones,2017-07-09,Series,"['다큐멘터리', '전기', '범죄', '음악']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYM4qgncPP8ajOVDFQSfxbIs9F6j_DPIoCkA_Z5oVgG5Zm7TxxL0iJjPelnBA1oqlHvwOHRs6ydpr1Z8Gfj-WKnn6swjIbYIRaGhaqaqjoX4sZgP5EyBH-fxyew.jpg?r=9cd,11713.0
1641,5631,Brothers,2015-08-14,Series,"['액션', '드라마', '스포츠']",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,https://occ-0-2042-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbnbAKAiSxPTfJeLimfDEelv-Mc7aV4ITSZVWYCmZIP86NAegFDgynmfut4bxrw8EvhGTexkDZBc9m3VivxIg6F4yA.jpg?r=dce,11727.0
4133,12594,Shaun the Sheep,2007-03-05,Series,"['애니메이션', '단편', '코미디', '가족']",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR2cCHC7WzlGud52jXIuIVtr5JhnQ9CzERuEN_B6qtSWHGpfG3733DUyg5H0XKqoNx9F_o_zZ1OKivaft0nSkN4Yiw.jpg?r=a74,12149.0
4806,15373,H2O  Just Add Water,2006-07-07,Series,"['드라마', '가족', '판타지']",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXuh_IrWJs8SYt2pzvrM26KZSqUtIkSycBt_Kq0MTP8UgjxpzseDxADLMcqAkGOTJemoECmRaFp5UPKNfGJt5O8cZA.jpg?r=68d,12486.0
103,352,Night Stalker  The Hunt for a Serial Killer,2021-01-13,Series,"['다큐멘터리', '범죄']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-4039-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUUMMaD5VT_CUmKxgc5GHRE0Fv_uybOVjHY9WMrD6XYTZnGPrW1BK0Slv2afEK-o4x5CAN_InX5yEihByq0gwIlyL1K88l-32z-LYo6VPWdQDuuyGixFsvbXsJ8.jpg?r=fbb,13056.0
1026,4036,Killer Inside  The Mind of Aaron Hernandez,2020-01-15,Series,"['다큐멘터리', '범죄']",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-1490-1489.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfYv4vT3Vqkv8KqqpB0M8w_pLPuNOluuhnvmufkZFrvgNV4a6JGCs-vZ3bPEkNWKIiaBm8iIBkuzSnU0gxGNHJYdJMxezAV402wp-NnldGXPNci4yn8EWLgbRkA.jpg?r=a04,13355.0
3489,10496,Trollhunters,2016-12-23,Series,"['애니메이션', '액션', '모험', '코미디', '드라마', '가족', '판타지']",1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcmB7oPNbEX9WAzL4Da_hHd-VAnNzxdsnASzBtIHbVh4p6bkKpt-Ugj-WSLULyBgWLyoZNM_gkbSLjLhpxWRlMfuHm39szJyZSPlp13aW_vEyyze6TSFvNzuYG8.jpg?r=12a,13435.0
3838,11418,Versailles,2016-10-01,Series,"['전기', '드라마', '역사', '로맨스', '전쟁']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,http://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABerlKTq1aGPrWLvd6KaW7gyQQDZbyUiEDGKC3WSzcHUrjp2xHubYsg6-Hv9mA-jybNWgZtGiMoc8AFUvyBCx_Lc5WQ.jpg?r=37a,13950.0
4740,15151,RuPauls Drag Race,2009-02-02,Series,"['게임쇼', '리얼리티']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,https://occ-0-2506-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVYddRmuETGVSsKlpCnIzRUnLbltFK2hyN0hO6zBvzGL2zIetvI4jl0GZn1vKgFlzSQepyrQIVIVHGEUUkfXIAcx9OplsR_v4n0YM5TX554NEmPbBMylf0Sqvpk.jpg?r=ae4,15334.0
2846,8947,Queer Eye,2018-02-07,Series,['리얼리티'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcbUBbILj_QoU7E0qk98njfuYBnLknl_QxP4RVp6igiEXBIvg1zWjY-cuMp3aU9kLoEhKkkM-P4x9EYbFJR8H_Tt1PhCFcxg0RvrFjCbzoyPia4wmpsOLgkcXME.jpg?r=d08,15500.0
4658,14853,The Smurfs,1981-09-12,Series,"['애니메이션', '모험', '코미디', '가족', '판타지']",0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeuoolUolZzNoF1kUsY4HvLUWJRhcc1LcvSeagiR7DFWZLgcce7Z9OgF1JEiUSTcZtIc19z-jQxoFuBwEN3rACmcBw.jpg?r=0b3,16011.0
2281,7232,The Dragon Prince,2018-09-14,Series,"['애니메이션', '모험', '드라마', '가족', '판타지', '스릴러']",1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABet-wPpX4CQjA9dZckdUxf9UETeQyXmyVyxLkCZiM3Y7u-4IFwKnNxA5mBJwi2PJr12LPijt4FDk7_PQy6Y8JB_DbVM9iX4kn7fDFpj3B9zHSPPrDfbuIPyUjsw.jpg?r=9bf,16624.0
4136,12631,Hells Kitchen,2005-05-30,Series,"['게임쇼', '리얼리티']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,http://occ-0-299-300.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABZiyzq9gbaLYXOVDjvzK4XkPuyNxqOVWYY-CJsnkX0z2jbdghdtve4tYfrgec_TaJoyre1KQq6_FRNDT8Tq6hqvvWsGH0cA.jpg?r=5c1,16804.0
3767,11206,Crazy Ex-Girlfriend,2015-10-12,Series,"['코미디', '음악al']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXb41Nnc3WJuD7g-nnT7oRxUqM6Z_CF-N-2FrkMkX7Qugknpric-CcOfFHtDaX4Aa2NcDaj5hUnpMpJvAh5Z-OPbQA.jpg?r=027,16941.0
3880,11528,Your Lie in April,2019-03-01,Series,"['애니메이션', '드라마', '음악', '로맨스']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfA5RHSPKYEoFcKkI17RWmfMh1I3Q7iVFfrjonoVcah87mbl27lwKYkcs7LDOXe40zlknkNnTKMIMc0hnGQfZjQRYA.jpg?r=f10,17249.0
3820,11360,Teen Titans Go!,2013-04-23,Series,"['애니메이션', '단편', '모험', '코미디', '가족', 'SF']",0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXVRRFw0A8DJG_aXd62-whgub7UWp6ZnGGo5xp8ThezCL8yDBFt2iBGX_mItT9hPqfJLua4fFsn9D21T6HM437gx2A.jpg?r=624,17476.0
1725,5848,Black Summer,,Series,"['액션', '드라마', '공포', '스릴러']",1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWSmwueaFHNsX_NSwE9cCaDi-z2OGJuNcwXxFFyT2wzVCr2Z271c5pKaa7Bi49j67lE17j5-5P6gLNsb0dM9DQqltNab_4-f-s1WppPB2iHuDqj5KlpBzK5Znxg.jpg?r=0ae,18783.0
4792,15327,From Dusk Till Dawn,2014-03-11,Series,"['액션', '범죄', '공포']",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWKAYxjI1p8CItSy9BMAu7bMJVYj6-rp4NTS1aQawfVY17ZevaAmQDOSZWovNurayaojsEw3wLrTb1cjztxynM_GKWCG7vidYdcFwsuovN6Yw0xBpiEd9B45jqQ.jpg?r=75c,19031.0
1096,4336,The Promised Neverland,2019-04-13,Series,"['애니메이션', '모험', '드라마', '판타지', '공포', '미스터리', 'SF', '스릴러']",1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVk6Y-kQEq_u59x6xKQCRytjr4cmbrhGsh0QOyem0i0K1JZOy3p_xIvz84a7Sa_b8muFjscTMZNfePtYsP9TmfZfoA.jpg?r=eee,21504.0
4805,15372,The Amazing World of Gumball,2011-05-03,Series,"['애니메이션', '모험', '코미디', '가족', '판타지']",0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVRnKBVm9w5TN1vJB2TVXIWhKpS7EkC-DuK1C1MYsUU_1hDWjBVWo2iO4LyxhMSNhrSeJkCx6JGt6YConZDfJp31Vg.jpg?r=a49,22036.0
2751,8745,Parasyte  The Maxim,2016-12-31,Series,"['애니메이션', '액션', '공포', '로맨스', 'SF', '스릴러']",0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRaDp3ZZetPWoXhH4gKwBKRIeYTPiffTRsxdFc6KyUF7IHumfBzgtAvN5yupETv2DoErQ2jNT_czHhGSJnfJCWeYnA.jpg?r=cc6,25867.0
105,367,Lupin,1979-12-15,Series,"['애니메이션', '모험', '가족', '판타지']",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABceP2CDElHv9xr3HAQCSrzxHpqOtpHujmjvKoUh5tod1n-yVZi904PUy8S85T9wpIxK7baA9o3Daq0dKJGGTbOdGOWk61FNXtdT_fc07Gf8Wsof8Rr1vRBVHVwY.jpg?r=9ca,27154.0
487,1901,Cursed,2005-02-25,Series,"['코미디', '공포']",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2774-2773.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfjMQYvTfaXYz7r0mbC6tV-pDwgOo4ztlD3IiN-kp2KZsrv-YSv1R_ji6DmWMHGgH5cvUqavWMW2GDTJsLOVPyj3RdtyEqSvHuYiOpoS1c86uGoXI8TTqAqTbhs.jpg?r=f98,30608.0
4340,13440,Young Justice,2010-11-26,Series,"['애니메이션', '액션', '모험', '범죄', '로맨스', 'SF']",0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVJZ7HCCYtpOfDp_brh-1e4hw-t9ZTTCPlGhs8OviJCOTf1Ws3qBPv5XyRSjj_5hhsmokoADwoCS1FAElhDZUKHrjA.jpg?r=523,31873.0
2321,7333,Disenchantment,2018-08-17,Series,"['애니메이션', '액션', '모험', '코미디', '판타지']",0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABc61zwSOn-lRI1OYZnN8ccr_DiT0uiNk9KvhNQE510YEKA0-SBi2YQXnFRzYZotUYEyWMKNx9Mfc-THYIiKZxPw7z1ImYfkQTOPyQi8HILLX4H9lDCeK8zpfW5E.jpg?r=a75,46968.0
4260,13037,Were Lalaloopsy,2015-02-13,Series,"['코미디', '공포']",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe0-oKnl7uursm2D0YJ3jsg6tN70w8jMTjGgy9_dXDbWbXZrvHTor55cwz4Q2YqSDIugLy4mJEKKy0TIJrJHM06scZmfPL1dGHdakCBvHCiTCiMF-en_aKZwnhE.jpg?r=eaa,158121.0
