,old_index,title,release_date,series_or_movies,genre_list,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,img_link,imdb_votes
4315,13297,Die Hard  With a Vengeance,1995-05-19,Movie,"['액션', '모험', '스릴러']",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-3377-185.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABaL87RzUrANtEMoJFwQRyAp3mPpezjYwc6PUc9Yx1LxOgWuRt4USYdUkuWnm1hayEuVnHTP1BLHYdiwmxc5kH83SFQ.jpg?r=fd2,364897.0
4114,12459,Fast and Furious 6,2013-05-24,Movie,"['액션', '모험', '스릴러']",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2717-360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXUPfmC9l3JvYueh4aQ7ShnCUBx9OggrFSCVAe_feqZdeingA92UcFfExz-KRpvgYoO-hSOfSSjZNh-LPteOX7PZiw.jpg?r=214,368985.0
4610,14724,The Cabin in the Woods,2012-04-13,Movie,['공포'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaDGRShc_FvFXejNGLtBmW1bdp8Y6O4LAIGgCqheVX7TxANjheFA23MJ-Ko71-vj0cm0oSllkq9nhAw82W3ehxPgQw.jpg?r=33e,377507.0
4138,12633,Godzilla,2014-05-16,Movie,"['액션', '모험', 'SF', '스릴러']",0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-1926-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcbFlA3AQyB7-M8XLF0jY-fPq_mCthcIBiPSZILbOXwck6KJ0T_f8CGrWUPXBDTA49yPXT2F7mnKBRaWjQcYM86_mw.jpg?r=eaf,377876.0
4539,14432,The Da Vinci Code,2006-05-19,Movie,"['미스터리', '스릴러']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABT3pOAMejvMmur7ikoBcSKWkqhDuzMBEFFtcjb8VqQo0YPSnpnil5Q1jWzC04LQJ7m00-H58ikS08Lx8vnx74MKwyg.jpg?r=b5c,402079.0
4108,12418,Sherlock Holmes  A Game of Shadows,2011-12-16,Movie,"['액션', '모험', '미스터리']",0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRRnLVD31ZPkA51DsNVvdNUcsn9l1vorDnY7ztH_lMhjGFnYPzuWgQvU_0WjTe8TBNPlFg8qEe1jsP92cwHeNn0sVA.jpg?r=1af,421586.0
2270,7210,Split,2017-01-20,Movie,"['공포', '스릴러']",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-768-769.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABewm3Qhn-vYzYBt-8ABH-iSW7_Vco--HpUWlVPhxx9DE17u9MUFtPCyX7FDBHVcrMg1M3zZ9qa8kEOKgbvpgnsl2gg.jpg?r=381,428760.0
1548,5450,"Its Okay, Buddy",2017-09-08,Movie,['공포'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRRuumKZ-pKbX3CgRpu7lgLpfB6rM3QRpYpryp_Z7ut2td2Xlb_Gfu5iVgUsl-k6kmoTxGAdq6lv-R3oYw3BMn-3Bw.jpg?r=f53,460854.0
540,2127,Its Okay to Not Be Okay,2017-09-08,Series,['공포'],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUuMiarnTKtOMIJwhV9tLaIbldJXQ8QnwAUJWQo_XMncXAQmj1F-zBVwilsBn-OHa-ZRlPK3R6aso8PTpoDUQtVQZBCpb-RwWf3WX9_uZFGKzy3jPniK5NEBrco49QKdQ797ix9TmcIs6Utb78StWWmPX1QVubQEghXJExM.jpg?r=3f2,460854.0
4319,13320,Pacific Rim,2013-07-12,Movie,"['액션', '모험', 'SF']",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABc5Mj_OeQ2ryyhfufqAe5rFbjM1xpGanu4CZ6AqaneoPeSr-LS9TBaj1ogE9RFO1GD_zjrQRwJtjjyrUuJIHhz0a8g.jpg?r=318,466660.0
4369,13536,Spider-Man 3,2007-05-04,Movie,"['액션', '모험', 'SF']",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeBkdy1KYdkl6OBW6grBBujdfn3FfEckxLd0t0g1gTRf5zEQSmCQdQYgKHIrnCwNVnJIV1VEwsXXWkVMo-pplzqt2w.jpg?r=f21,500606.0
4318,13309,Spider-Man 2,2004-06-30,Movie,"['액션', '모험', 'SF']",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXHxPKZcMWweSwUkSVJi2R809dY3bSmSciCTL5d5GDdEhscIHX0IrFa9o7qoIvpa1rnW8FIAVZBbYBS-1flkoav07A.jpg?r=b0c,545277.0
4365,13528,The Amazing Spider-Man,2012-07-03,Movie,"['액션', '모험', 'SF']",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRhbho0wDivwosT4-zNzHtRw1bXdm_WwQ0fNQOFhkhlN7MbsaqiambOkuJydnQ2C86WJuUuhrhPjGn1bvdxkZ2CqSQ.jpg?r=c60,559478.0
4110,12423,Edge of Tomorrow,2014-06-06,Movie,"['액션', '모험', 'SF']",0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTBDw3gZal9GWyM8NMHWguGtzNcdwmmkmeZSyv0cb1Hmil3iufD_DVdSuAvkQG3OfmTs3aViXhXVmcizoPz3W6UVug.jpg?r=d09,601294.0
4477,14086,Memento,2001-05-25,Movie,"['미스터리', '스릴러']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXg2UWKRwv3lIMRU4fBLsu3TFRshTBCCUS_c-rWUIkREvzKUpbVsXtIuJWDtykz6IcyhOhsj9JltB8qfuOaTrFUkyg.jpg?r=4ce,1127675.0
4585,14633,Shutter Island,2010-02-19,Movie,"['미스터리', '스릴러']",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSGqtG3E7xXSvF7TMN6gzYTA-ygo9utELjEnaHAm_-5csdbRyj9cGZqVd8-ZYTuwAuWyuUuq3agPj-pYrV9RjDAyPQ.jpg?r=850,1137284.0
