,Title,Release Date,Series or Movies,drama,comedy,action,thriller,romance,crime,adventure,animation,fantasy,family,sci-fi,mystery,horror,documentary,biography,history,music,short,sport,war,musical,reality-tv,western,game-show,talk-show,Title for Crawling
64,Rebel in the Rye,2017-09-15,Movie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,rebelintherye
65,The Return,2003-06-25,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thereturn
66,The Rookies,1972-03-07,Movie,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,therookies
67,Snatch Up,2018-04-12,Movie,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,snatchup
68,Stray,2019-04-01,Movie,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stray
69,Stand by Me,1986-08-22,Movie,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,standbyme
70,Tea Pets,2020-01-14,Movie,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,teapets
71,A Tiger In Winter,2018-04-12,Movie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,atigerinwinter
72,The Three Little Pigs,,Movie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thethreelittlepigs
73,Wonderstruck,2017-10-20,Movie,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,wonderstruck
74,Keys To The Heart,2018-01-26,Movie,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,keystotheheart
75,Intimate Strangers,2004-09-03,Movie,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,intimatestrangers
76,Homme Fatale,2019-07-10,Movie,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,hommefatale
77,Happy Bus Day,2017-04-21,Movie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happybusday
78,Gonjiam  Haunted Asylum,2018-03-28,Movie,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,gonjiamhauntedasylum
79,Golden Slumber,2010-01-30,Movie,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,goldenslumber
80,Extreme Job,2019-06-21,Movie,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,extremejob
81,Default,2018-11-28,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,default
82,Criticsized,2016-12-13,Movie,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,criticsized
83,Communication & Lies,,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,communicationlies
84,Clover,2020-04-03,Movie,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clover
85,Blood Orange,2016-04-29,Movie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bloodorange
86,The Big Shot,1942-06-13,Movie,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thebigshot
87,Angels Time,1999-10-05,Movie,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,angelstime
88,After My Death,2018-09-13,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aftermydeath
89,The Age of Blood,2017-11-14,Movie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theageofblood
90,The Accidental Detective 2  In Action,2018-06-22,Movie,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,theaccidentaldetective2inaction
91,12 Feet Deep,2017-06-20,Movie,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12feetdeep
92,1987  When the Day Comes,2018-01-12,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1987whenthedaycomes
93,Enter the Fat Dragon,2020-02-14,Movie,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,enterthefatdragon
96,The Girl on the Train,2016-10-07,Movie,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,thegirlonthetrain
110,Made You Look  A True Story About Fake Art,2021-02-23,Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,madeyoulookatruestoryaboutfakeart
112,Chihayafuru,2011-10-05,Series,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chihayafuru
113,Classmates Minus,2021-02-20,Movie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,classmatesminus
125,Sisyphus,1974-10-01,Series,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,sisyphus
127,Behind Her Eyes,2018-05-15,Series,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,behindhereyes
128,The Manson Family Massacre,2019-08-06,Movie,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,themansonfamilymassacre
129,Return of the King Huang Feihong,2017-11-13,Movie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,returnofthekinghuangfeihong
130,Ten Years Japan,2018-11-03,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tenyearsjapan
131,Love at Second Sight,2019-04-03,Movie,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loveatsecondsight
132,Liberation,1971-11-01,Movie,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,liberation
133,The King is Invincible,2019-07-28,Movie,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thekingisinvincible
134,Amanda,2018-11-21,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amanda
135,Corpus Christi,2020-02-28,Movie,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,corpuschristi
146,The Crew,2000-08-25,Series,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thecrew
