code,num_per_ages
85578,"['2%', '48%', '28%', '15%', '6%']"
174807,"['1%', '40%', '45%', '7%', '7%']"
175365,"['0%', '8%', '74%', '18%', '0%']"
177975,"['0%', '0%', '0%', '100%', '0%']"
154986,"['0%', '57%', '43%', '0%', '0%']"
202670,[]
189961,[]
193833,[]
192486,[]
201657,[]
202535,[]
177510,"['10%', '62%', '16%', '6%', '6%']"
190447,"['0%', '12%', '62%', '25%', '0%']"
203213,[]
181046,"['20%', '60%', '20%', '0%', '0%']"
159070,"['1%', '31%', '22%', '25%', '20%']"
168508,[]
174294,"['0%', '55%', '9%', '18%', '18%']"
164104,"['6%', '63%', '28%', '3%', '1%']"
198774,[]
181541,[]
63850,[]
189537,"['4%', '40%', '35%', '14%', '7%']"
197339,[]
177374,"['5%', '40%', '23%', '22%', '11%']"
169078,"['4%', '43%', '26%', '17%', '10%']"
172795,[]
181971,[]
186821,"['2%', '43%', '31%', '14%', '10%']"
182355,"['2%', '42%', '30%', '19%', '6%']"
182017,[]
185340,[]
194802,[]
194803,[]
191002,[]
193856,[]
190720,"['0%', '40%', '39%', '8%', '13%']"
194318,[]
193488,[]
194726,[]
192481,[]
174808,[]
192027,[]
193921,[]
176306,"['1%', '33%', '40%', '18%', '8%']"
74407,"['5%', '61%', '25%', '4%', '4%']"
191918,[]
181695,[]
189712,"['0%', '0%', '100%', '0%', '0%']"
193828,[]
12781,[]
190806,[]
193827,[]
193079,[]
199586,[]
177509,"['1%', '27%', '28%', '32%', '11%']"
127858,"['4%', '54%', '26%', '16%', '0%']"
24008,[]
39640,"['15%', '45%', '23%', '14%', '2%']"
83410,[]
193862,[]
191759,[]
35012,[]
193124,[]
183876,"['2%', '38%', '31%', '22%', '7%']"
191518,[]
185131,"['4%', '41%', '27%', '23%', '4%']"
171540,[]
191916,[]
172113,"['11%', '57%', '13%', '15%', '4%']"
175318,"['15%', '54%', '16%', '12%', '3%']"
192361,[]
140648,[]
191686,[]
30775,[]
146534,"['1%', '29%', '32%', '26%', '11%']"
